seed_model,n_agree,n_disagree,bl_gain_agree,bl_gain_disagree,c2_gain_agree,c2_gain_disagree,bl_minus_c2_agree,bl_minus_c2_disagree
0,139,61,-0.014388489208633094,0.09836065573770492,-0.08633093525179857,0.04918032786885246,0.07194244604316546,0.04918032786885246
1,121,79,-0.024793388429752067,0.1518987341772152,-0.0743801652892562,0.0759493670886076,0.049586776859504134,0.0759493670886076
2,112,88,0.07142857142857142,0.29545454545454547,-0.044642857142857144,0.2159090909090909,0.11607142857142858,0.07954545454545456
3,123,77,0.008130081300813009,0.09090909090909091,-0.21138211382113822,-0.4155844155844156,0.21951219512195122,0.5064935064935066
4,138,62,0.007246376811594203,0.1935483870967742,-0.17391304347826086,-0.14516129032258066,0.18115942028985507,0.33870967741935487
5,124,76,-0.04032258064516129,0.23684210526315788,-0.016129032258064516,-0.013157894736842105,-0.024193548387096774,0.25
6,144,56,-0.1111111111111111,0.05357142857142857,-0.20833333333333334,-0.08928571428571429,0.09722222222222224,0.14285714285714285
7,112,88,-0.05357142857142857,0.07954545454545454,-0.1875,-0.2159090909090909,0.13392857142857142,0.29545454545454547
8,136,64,-0.07352941176470588,0.3125,-0.051470588235294115,0.140625,-0.02205882352941177,0.171875
9,143,57,0.0,0.12280701754385964,-0.09090909090909091,-0.017543859649122806,0.09090909090909091,0.14035087719298245
10,127,73,-0.047244094488188976,0.1917808219178082,-0.31496062992125984,0.0136986301369863,0.26771653543307083,0.1780821917808219
11,138,62,-0.07971014492753623,0.16129032258064516,-0.36231884057971014,0.08064516129032258,0.28260869565217395,0.08064516129032258
12,108,92,-0.018518518518518517,0.18478260869565216,-0.10185185185185185,0.0,0.08333333333333333,0.18478260869565216
13,138,62,-0.09420289855072464,0.04838709677419355,-0.3115942028985507,-0.06451612903225806,0.21739130434782608,0.11290322580645161
14,127,73,-0.06299212598425197,0.136986301369863,-0.2440944881889764,-0.0821917808219178,0.18110236220472442,0.2191780821917808
15,115,85,-0.034782608695652174,0.18823529411764706,-0.591304347826087,-0.023529411764705882,0.5565217391304348,0.21176470588235294
16,134,66,-0.014925373134328358,0.25757575757575757,-0.022388059701492536,0.13636363636363635,0.007462686567164178,0.12121212121212122
17,114,86,-0.02631578947368421,0.23255813953488372,-0.11403508771929824,0.046511627906976744,0.08771929824561403,0.18604651162790697
18,124,76,-0.016129032258064516,0.11842105263157894,-0.03225806451612903,0.07894736842105263,0.016129032258064516,0.039473684210526314
19,134,66,-0.04477611940298507,0.0,-0.3208955223880597,-0.21212121212121213,0.2761194029850746,0.21212121212121213
