seed_model,trial,true_cls,target_t1,target_t3,donor_t1,c2_t3,agree,bl_correct_t1,bl_correct_t3,c2_correct_t1,c2_correct_t3
0,0,2,2,2,2,2,1,1,1,1,1
0,1,4,3,4,4,0,0,0,1,0,0
0,2,1,1,1,1,1,1,1,1,1,1
0,3,1,1,1,1,1,1,1,1,1,1
0,4,4,4,4,4,3,1,1,1,1,0
0,5,3,3,3,3,3,1,1,1,1,1
0,6,1,1,1,1,1,1,1,1,1,1
0,7,1,1,1,1,1,1,1,1,1,1
0,8,1,1,1,1,1,1,1,1,1,1
0,9,4,4,4,4,4,1,1,1,1,1
0,10,0,0,0,1,0,0,1,1,1,1
0,11,2,1,1,1,1,1,0,0,0,0
0,12,0,4,4,4,0,1,0,0,0,1
0,13,0,4,4,4,4,1,0,0,0,0
0,14,3,3,3,2,3,0,1,1,1,1
0,15,3,3,3,3,3,1,1,1,1,1
0,16,2,2,2,2,2,1,1,1,1,1
0,17,1,1,1,1,1,1,1,1,1,1
0,18,2,1,1,1,1,1,0,0,0,0
0,19,2,3,3,2,1,0,0,0,0,0
0,20,0,0,0,0,0,1,1,1,1,1
0,21,2,2,2,2,2,1,1,1,1,1
0,22,4,4,4,4,4,1,1,1,1,1
0,23,1,1,1,0,0,0,1,1,1,0
0,24,4,4,4,4,4,1,1,1,1,1
0,25,0,0,0,0,0,1,1,1,1,1
0,26,0,0,0,0,0,1,1,1,1,1
0,27,4,4,4,4,4,1,1,1,1,1
0,28,0,0,0,0,0,1,1,1,1,1
0,29,2,2,2,2,2,1,1,1,1,1
0,30,3,3,3,3,3,1,1,1,1,1
0,31,3,3,3,3,3,1,1,1,1,1
0,32,1,1,1,1,1,1,1,1,1,1
0,33,4,4,4,4,0,1,1,1,1,0
0,34,0,0,0,4,0,0,1,1,1,1
0,35,0,0,4,4,0,0,1,0,1,1
0,36,2,2,2,2,2,1,1,1,1,1
0,37,2,2,2,2,2,1,1,1,1,1
0,38,1,1,1,1,1,1,1,1,1,1
0,39,2,2,2,2,2,1,1,1,1,1
0,40,0,0,0,0,0,1,1,1,1,1
0,41,3,3,3,3,3,1,1,1,1,1
0,42,3,3,3,1,3,0,1,1,1,1
0,43,4,4,4,4,4,1,1,1,1,1
0,44,1,2,2,1,2,0,0,0,0,0
0,45,1,1,1,1,1,1,1,1,1,1
0,46,3,3,3,3,3,1,1,1,1,1
0,47,4,4,4,4,4,1,1,1,1,1
0,48,3,3,3,3,3,1,1,1,1,1
0,49,3,3,3,3,3,1,1,1,1,1
0,50,2,2,2,2,2,1,1,1,1,1
