seed,aligner_size,aligner_params,lr,bl_gain,c2_raw_gain,group_a_gain,bias_only_gain,bias_only_acc_t1,bias_only_acc_t3,learned_bias_0,learned_bias_1,learned_bias_2,learned_bias_3,learned_bias_4,learned_bias_norm,epochs_run,best_epoch,best_val_loss,elapsed_s,aligned_logits_norm_t2,aligned_logits_norm_t3,aligned_logits_max_abs_t2,aligned_logits_max_abs_t3,feedback_norm_t2,feedback_norm_t3,tanh_saturation_fraction_t2,tanh_saturation_fraction_t3
0,bias_only,5,0.01,0.21500003337860107,-0.13999998569488525,0.020000040531158447,0.030000030994415283,0.7099999785423279,0.7400000095367432,0.12145815991311902,-0.12460611787181636,0.08824807710453836,-0.11808538078595525,0.11765200877566914,0.25661770137215495,113,12,0.6974451314590345,0.3469719886779785,0.2566177013721549,0.2566177013721549,0.12460611787181636,0.12460611787181636,0.12816205325410057,0.12816205325410057,0.0,0.0
1,bias_only,5,0.01,0.1850000023841858,0.08499997854232788,-0.01500004529953003,0.02499997615814209,0.7300000190734863,0.7549999952316284,0.5768504550738719,-0.12052643621560971,-0.5621081580662916,-2.3402968894501273,-2.17999957284744,3.3003994181152394,2000,1998,0.5322596481717108,5.99365496635437,3.3003994181152403,3.3003994181152403,2.3402968894501273,2.3402968894501273,1.2132332730680617,1.2132332730680617,0.0,0.0
2,bias_only,5,0.01,0.18499994277954102,-0.050000011920928955,0.0,0.014999985694885254,0.7200000286102295,0.7350000143051147,-0.5476051795389978,-0.41927959315787755,-0.5910626330188545,-0.2526847073563434,-0.5047788166192951,1.0694265103723075,386,285,0.6786926198984543,1.1912736892700195,1.069426510372308,1.069426510372308,0.5910626330188545,0.5910626330188545,0.522919378009931,0.522919378009931,0.0,0.0
3,bias_only,5,0.01,0.1950000524520874,-0.02499997615814209,-0.06000000238418579,0.020000040531158447,0.7149999737739563,0.7350000143051147,0.6711557849105125,0.31351446226031016,0.48448329058121903,-0.24229902941609424,-0.13473388754939405,0.9275384114028796,380,279,0.7544274490777196,1.1655652523040771,0.9275384114028798,0.9275384114028798,0.6711557849105125,0.6711557849105125,0.45206449256786924,0.45206449256786924,0.0,0.0
4,bias_only,5,0.01,0.22499996423721313,-0.32500001788139343,0.0,0.06999999284744263,0.7200000286102295,0.7900000214576721,-0.458174642811859,-0.16849071639267388,-1.707502425614923,-1.9454257495351115,-1.6126982271044736,3.0885845588177276,506,405,0.6735049677913987,1.5991199016571045,3.0885845588177285,3.0885845588177285,1.9454257495351115,1.9454257495351115,1.2433972619025686,1.2433972619025686,0.0,0.0
5,bias_only,5,0.01,0.19999998807907104,-0.15000003576278687,0.009999990463256836,0.06999999284744263,0.675000011920929,0.7450000047683716,0.1996624787488832,0.7101260676006262,0.27525007964371406,0.972197988234288,0.2830792172641352,1.282657208775447,414,313,0.7528895478592487,1.2795159816741943,1.282657208775447,1.282657208775447,0.972197988234288,0.972197988234288,0.6066812191588599,0.6066812191588599,0.0,0.0
6,bias_only,5,0.01,0.07499998807907104,0.04000002145767212,-0.019999980926513672,0.004999995231628418,0.5049999952316284,0.5099999904632568,-1.4116556956815194,-0.4345010935772743,-0.7539032609151906,0.020704021806685437,-0.8111080485050949,1.8461468124602645,364,263,1.1569932814570218,1.1146368980407715,1.8461468124602651,1.8461468124602651,1.4116556956815194,1.4116556956815194,0.8325963436042394,0.8325963436042394,0.0,0.0
7,bias_only,5,0.01,0.125,-0.050000011920928955,-0.05500000715255737,-0.05500000715255737,0.824999988079071,0.7699999809265137,-0.25276706390589765,0.1731206375333151,-0.4599556555292552,-0.16586485032144374,0.31718106330204715,0.6584346013678721,197,96,0.6403267208257467,0.5795009136199951,0.6584346013678722,0.6584346013678722,0.4599556555292552,0.4599556555292552,0.325454316044151,0.325454316044151,0.0,0.0
8,bias_only,5,0.01,0.14500004053115845,-0.014999985694885254,0.030000030994415283,0.05500000715255737,0.824999988079071,0.8799999952316284,-0.5582972943474467,0.519020393131973,0.5608259822649508,-0.39790601320421254,0.8809078623637892,1.3527496727275174,330,229,0.5261049785005588,0.9848170280456543,1.3527496727275174,1.3527496727275174,0.8809078623637892,0.8809078623637892,0.6504927352221275,0.6504927352221275,0.0,0.0
9,bias_only,5,0.01,0.27000004053115845,-0.17999997735023499,-0.014999985694885254,0.030000030994415283,0.6399999856948853,0.6700000166893005,-0.3279610370229763,-0.46850731089269815,-0.39551163366162545,-0.48970372262324,0.10761810218850998,0.8572504805460869,200,99,0.7874728839622118,0.6087629795074463,0.8572504805460869,0.8572504805460869,0.48970372262324,0.48970372262324,0.42187404805747336,0.42187404805747336,0.0,0.0
