seed,mean_y1,max_y1,mean_y2,max_y2,frac_y1_gt4,frac_y2_gt4,frac_y1_gt2,frac_y2_gt2
0,1.6289817237436475,7.805602069294744,2.6359012946489973,11.163636837315831,0.058,0.222,0.327,0.549
1,1.5045313295571263,5.913852958586023,2.7064715512610484,11.055658169982763,0.042,0.244,0.276,0.565
2,1.812808448127552,10.703014434797494,3.1414555356056617,15.370711934530371,0.088,0.296,0.34,0.623
3,1.1232595679924815,7.590710160211392,2.0611412205282305,11.079198731159348,0.031,0.171,0.157,0.346
4,1.607099599122807,10.999342404511898,3.11538049112402,14.837652666156531,0.07,0.297,0.287,0.568
5,1.2320467104452668,7.202819690345881,2.1206719695142993,11.936131632063061,0.042,0.174,0.201,0.378
6,0.8842341520298692,6.079742882992805,1.2104158994258536,6.805878275255824,0.007,0.07,0.117,0.21
7,1.3369057255685883,8.520711957530484,2.2034576155044596,11.045654573877068,0.025,0.131,0.204,0.436
8,1.512663215064895,8.342767730617458,2.2059206396118918,9.56205461583218,0.045,0.16,0.293,0.474
9,1.461555449682216,5.609983790605288,2.487307926862982,10.857547970295775,0.025,0.203,0.255,0.49
10,1.5715273802025516,7.370300499317598,2.6431632561200367,9.56261384501897,0.047,0.235,0.316,0.54
11,1.7763509470868522,7.581867026507895,3.317847147080419,13.934196559597519,0.089,0.333,0.374,0.624
12,1.6198912563707322,9.66405789649003,2.486507588098088,19.92251517452863,0.087,0.198,0.271,0.428
13,1.9316760188035413,9.926138204411531,3.402529344955586,17.466680062144086,0.101,0.32,0.398,0.635
14,1.5727179840460133,6.183945292999551,2.828901372250514,9.49370211358379,0.04,0.297,0.322,0.561
15,1.2828862822456548,7.23046695788666,1.680554581189214,8.211265827755346,0.044,0.096,0.208,0.322
16,1.6044501906370638,6.55901395480023,2.7877255310729727,10.82494418663059,0.055,0.251,0.32,0.566
17,0.9175568853610916,6.764635840640508,1.6628687408298704,10.45008490516932,0.015,0.126,0.109,0.293
18,1.4309111899350655,7.60356780676545,2.3469542524580738,9.782226529027806,0.034,0.157,0.255,0.545
19,1.3693538436942985,7.676228462656925,2.3852840339575185,11.29782195729368,0.031,0.16,0.235,0.519
