seed,aligner_size,aligner_params,lr,bl_gain,c2_raw_gain,static_pt_gain,static_pt_acc_t1,static_pt_acc_t3,epochs_run,best_val_loss,elapsed_s
0,affine,30,0.01,0.21500003337860107,-0.13999998569488525,0.1600000262260437,0.7099999785423279,0.8700000047683716,2000,5.609122138009407,1.1574909687042236
0,MLP-small,181,0.01,0.21500003337860107,-0.13999998569488525,0.17000001668930054,0.7099999785423279,0.8799999952316284,1024,4.280968288199036,1.0187456607818604
0,MLP-medium,4869,0.01,0.21500003337860107,-0.13999998569488525,0.18000000715255737,0.7099999785423279,0.8899999856948853,290,4.1211888033041095,1.3444619178771973
0,MLP-large,17925,0.01,0.21500003337860107,-0.13999998569488525,0.16500002145767212,0.7099999785423279,0.875,304,4.097650543446628,3.4943430423736572
1,affine,30,0.01,0.1850000023841858,0.08499997854232788,0.1850000023841858,0.7300000190734863,0.9150000214576721,2000,2.6722560984500725,1.136962890625
1,MLP-small,181,0.01,0.1850000023841858,0.08499997854232788,0.16499996185302734,0.7300000190734863,0.8949999809265137,2000,1.971784927702889,1.9488670825958252
1,MLP-medium,4869,0.01,0.1850000023841858,0.08499997854232788,0.17499995231628418,0.7300000190734863,0.9049999713897705,416,1.883438394292948,1.7561652660369873
1,MLP-large,17925,0.01,0.1850000023841858,0.08499997854232788,0.16999995708465576,0.7300000190734863,0.8999999761581421,319,1.9033818894761914,3.7570884227752686
2,affine,30,0.01,0.18499994277954102,-0.050000011920928955,0.12999999523162842,0.7200000286102295,0.8500000238418579,1602,3.8254171558316012,0.9497723579406738
2,MLP-small,181,0.01,0.18499994277954102,-0.050000011920928955,0.1799999475479126,0.7200000286102295,0.8999999761581421,1977,3.2127274766272422,1.9636225700378418
2,MLP-medium,4869,0.01,0.18499994277954102,-0.050000011920928955,0.18499994277954102,0.7200000286102295,0.9049999713897705,548,3.0503558601941294,2.8101141452789307
2,MLP-large,17925,0.01,0.18499994277954102,-0.050000011920928955,0.1799999475479126,0.7200000286102295,0.8999999761581421,377,3.0828680274317293,6.255384922027588
3,affine,30,0.01,0.1950000524520874,-0.02499997615814209,0.04500001668930054,0.7149999737739563,0.7599999904632568,2000,4.538837017520121,1.2114231586456299
3,MLP-small,181,0.01,0.1950000524520874,-0.02499997615814209,0.10000002384185791,0.7149999737739563,0.8149999976158142,1110,3.962576157843116,1.1324563026428223
3,MLP-medium,4869,0.01,0.1950000524520874,-0.02499997615814209,0.1350000500679016,0.7149999737739563,0.8500000238418579,510,3.8428110254292256,2.4780466556549072
3,MLP-large,17925,0.01,0.1950000524520874,-0.02499997615814209,0.125,0.7149999737739563,0.8399999737739563,387,3.826242642999036,5.343510389328003
4,affine,30,0.01,0.22499996423721313,-0.32500001788139343,0.14499998092651367,0.7200000286102295,0.8650000095367432,2000,5.353735493068285,1.1541261672973633
4,MLP-small,181,0.01,0.22499996423721313,-0.32500001788139343,0.20499998331069946,0.7200000286102295,0.925000011920929,870,3.4944493011970925,0.8596944808959961
4,MLP-medium,4869,0.01,0.22499996423721313,-0.32500001788139343,0.20999997854232788,0.7200000286102295,0.9300000071525574,405,3.1858498138763967,1.9872443675994873
4,MLP-large,17925,0.01,0.22499996423721313,-0.32500001788139343,0.20999997854232788,0.7200000286102295,0.9300000071525574,299,3.252012430681471,4.589259624481201
5,affine,30,0.01,0.19999998807907104,-0.15000003576278687,0.14499998092651367,0.675000011920929,0.8199999928474426,2000,2.578558630775141,1.2514305114746094
5,MLP-small,181,0.01,0.19999998807907104,-0.15000003576278687,0.13499999046325684,0.675000011920929,0.8100000023841858,1335,2.024393988512268,1.5168170928955078
5,MLP-medium,4869,0.01,0.19999998807907104,-0.15000003576278687,0.1499999761581421,0.675000011920929,0.824999988079071,832,2.008526592668769,4.137970209121704
5,MLP-large,17925,0.01,0.19999998807907104,-0.15000003576278687,0.1499999761581421,0.675000011920929,0.824999988079071,417,1.9821335788332037,5.490936517715454
6,affine,30,0.01,0.07499998807907104,0.04000002145767212,0.030000030994415283,0.5049999952316284,0.5350000262260437,1051,0.960344991608556,0.5910906791687012
6,MLP-small,181,0.01,0.07499998807907104,0.04000002145767212,0.06000000238418579,0.5049999952316284,0.5649999976158142,2000,0.7587283477678519,2.002979040145874
6,MLP-medium,4869,0.01,0.07499998807907104,0.04000002145767212,0.05500000715255737,0.5049999952316284,0.5600000023841858,603,0.7282835556095274,2.564020872116089
6,MLP-large,17925,0.01,0.07499998807907104,0.04000002145767212,0.050000011920928955,0.5049999952316284,0.5550000071525574,460,0.7231565839535359,6.2832419872283936
7,affine,30,0.01,0.125,-0.050000011920928955,0.09000003337860107,0.824999988079071,0.9150000214576721,1882,2.3428408894203723,1.0802569389343262
7,MLP-small,181,0.01,0.125,-0.050000011920928955,0.11000001430511475,0.824999988079071,0.9350000023841858,909,1.764522226088833,0.9220855236053467
7,MLP-medium,4869,0.01,0.125,-0.050000011920928955,0.10000002384185791,0.824999988079071,0.925000011920929,182,1.7656993862135344,0.9679088592529297
7,MLP-large,17925,0.01,0.125,-0.050000011920928955,0.11000001430511475,0.824999988079071,0.9350000023841858,355,1.7544060214110353,5.2745020389556885
8,affine,30,0.01,0.14500004053115845,-0.014999985694885254,0.12000000476837158,0.824999988079071,0.9449999928474426,2000,1.8026890589821256,1.1685750484466553
8,MLP-small,181,0.01,0.14500004053115845,-0.014999985694885254,0.125,0.824999988079071,0.949999988079071,1201,1.2439362793273652,1.2513980865478516
8,MLP-medium,4869,0.01,0.14500004053115845,-0.014999985694885254,0.125,0.824999988079071,0.949999988079071,323,1.1954732353450521,1.7272663116455078
8,MLP-large,17925,0.01,0.14500004053115845,-0.014999985694885254,0.10500001907348633,0.824999988079071,0.9300000071525574,243,1.1953325628755007,3.5076000690460205
9,affine,30,0.01,0.27000004053115845,-0.17999997735023499,0.18000000715255737,0.6399999856948853,0.8199999928474426,1163,2.930332769920457,0.6671831607818604
9,MLP-small,181,0.01,0.27000004053115845,-0.17999997735023499,0.2200000286102295,0.6399999856948853,0.8600000143051147,559,2.3009660827579936,0.5424466133117676
9,MLP-medium,4869,0.01,0.27000004053115845,-0.17999997735023499,0.2200000286102295,0.6399999856948853,0.8600000143051147,332,2.1897786279701443,1.5397281646728516
9,MLP-large,17925,0.01,0.27000004053115845,-0.17999997735023499,0.2250000238418579,0.6399999856948853,0.8650000095367432,166,2.2581968731098896,2.3593146800994873
10,affine,30,0.01,0.19499999284744263,-0.050000011920928955,0.15000003576278687,0.7649999856948853,0.9150000214576721,2000,3.205458758108358,1.161728858947754
10,MLP-small,181,0.01,0.19499999284744263,-0.050000011920928955,0.17000001668930054,0.7649999856948853,0.9350000023841858,800,2.1106113265904534,0.8188927173614502
10,MLP-medium,4869,0.01,0.19499999284744263,-0.050000011920928955,0.16500002145767212,0.7649999856948853,0.9300000071525574,305,1.9230886433789887,1.2876636981964111
10,MLP-large,17925,0.01,0.19499999284744263,-0.050000011920928955,0.18000000715255737,0.7649999856948853,0.9449999928474426,231,1.9436642142219456,3.4158127307891846
11,affine,30,0.01,0.1499999761581421,-0.3400000035762787,0.07999998331069946,0.800000011920929,0.8799999952316284,2000,4.212107755505136,1.180804967880249
11,MLP-small,181,0.01,0.1499999761581421,-0.3400000035762787,0.14499998092651367,0.800000011920929,0.9449999928474426,2000,3.206248829789595,2.027308225631714
11,MLP-medium,4869,0.01,0.1499999761581421,-0.3400000035762787,0.14499998092651367,0.800000011920929,0.9449999928474426,537,3.0709496526290745,2.511345148086548
11,MLP-large,17925,0.01,0.1499999761581421,-0.3400000035762787,0.13999998569488525,0.800000011920929,0.9399999976158142,341,3.0678309838567004,4.796980619430542
12,affine,30,0.01,0.21999996900558472,0.050000011920928955,0.19999998807907104,0.6150000095367432,0.8149999976158142,2000,3.470753089186271,1.1420373916625977
12,MLP-small,181,0.01,0.21999996900558472,0.050000011920928955,0.2149999737739563,0.6150000095367432,0.8299999833106995,2000,2.232718329369778,1.9754953384399414
12,MLP-medium,4869,0.01,0.21999996900558472,0.050000011920928955,0.21999996900558472,0.6150000095367432,0.8349999785423279,440,2.1372105001811197,2.116269111633301
12,MLP-large,17925,0.01,0.21999996900558472,0.050000011920928955,0.2149999737739563,0.6150000095367432,0.8299999833106995,308,2.169897887180033,4.240053176879883
13,affine,30,0.01,0.15000003576278687,0.0,0.08500003814697266,0.7749999761581421,0.8600000143051147,304,6.1401571363268195,0.18795466423034668
13,MLP-small,181,0.01,0.15000003576278687,0.0,0.1350000500679016,0.7749999761581421,0.9100000262260437,1512,4.170259469583251,1.516350269317627
13,MLP-medium,4869,0.01,0.15000003576278687,0.0,0.14000004529953003,0.7749999761581421,0.9150000214576721,490,4.04465846626975,2.3009114265441895
13,MLP-large,17925,0.01,0.15000003576278687,0.0,0.14500004053115845,0.7749999761581421,0.9200000166893005,428,4.056165589065147,5.338183879852295
14,affine,30,0.01,0.2250000238418579,0.025000035762786865,0.20000004768371582,0.7099999785423279,0.9100000262260437,2000,2.8270730753000293,1.1403241157531738
14,MLP-small,181,0.01,0.2250000238418579,0.025000035762786865,0.20500004291534424,0.7099999785423279,0.9150000214576721,1251,1.9663178752032016,1.3009543418884277
14,MLP-medium,4869,0.01,0.2250000238418579,0.025000035762786865,0.21000003814697266,0.7099999785423279,0.9200000166893005,468,1.8776706112742765,2.1168267726898193
14,MLP-large,17925,0.01,0.2250000238418579,0.025000035762786865,0.21000003814697266,0.7099999785423279,0.9200000166893005,305,1.857818199985265,3.8662378787994385
15,affine,30,0.01,0.07999998331069946,-0.06499999761581421,0.004999995231628418,0.7250000238418579,0.7300000190734863,2000,2.9963093235482874,1.1708006858825684
15,MLP-small,181,0.01,0.07999998331069946,-0.06499999761581421,0.039999961853027344,0.7250000238418579,0.7649999856948853,1690,1.8056661540628987,1.680354118347168
15,MLP-medium,4869,0.01,0.07999998331069946,-0.06499999761581421,0.014999985694885254,0.7250000238418579,0.7400000095367432,329,1.595455652460926,1.3439867496490479
15,MLP-large,17925,0.01,0.07999998331069946,-0.06499999761581421,0.009999990463256836,0.7250000238418579,0.7350000143051147,251,1.5754816868205586,3.422633171081543
16,affine,30,0.01,0.1350000500679016,0.0700000524520874,0.15500003099441528,0.7799999713897705,0.9350000023841858,1650,2.5157600866072225,0.9978876113891602
