kind,seed,epochs,gain
vn,0,500,0.14
vn,0,1000,0.15499999999999992
vn,0,1500,0.17999999999999994
vn,0,2000,0.18499999999999994
vn,0,3000,0.17999999999999994
vn,0,4000,0.17999999999999994
vn,0,5000,0.17499999999999993
vn,1,500,0.135
vn,1,1000,0.15500000000000003
vn,1,1500,0.135
vn,1,2000,0.14
vn,1,3000,0.11499999999999999
vn,1,4000,0.09500000000000008
vn,1,5000,0.09500000000000008
vn,2,500,0.235
vn,2,1000,0.22999999999999998
vn,2,1500,0.15999999999999992
vn,2,2000,0.15500000000000003
vn,2,3000,0.125
vn,2,4000,0.11499999999999999
vn,2,5000,0.10499999999999998
vn,3,500,0.07999999999999996
vn,3,1000,0.17000000000000004
vn,3,1500,0.14
vn,3,2000,0.15499999999999992
vn,3,3000,0.16999999999999993
vn,3,4000,0.17499999999999993
vn,3,5000,0.18499999999999994
vn,4,500,0.10499999999999998
vn,4,1000,0.17499999999999993
vn,4,1500,0.16499999999999992
vn,4,2000,0.17999999999999994
vn,4,3000,0.17499999999999993
vn,4,4000,0.17499999999999993
vn,4,5000,0.18499999999999994
vn,5,500,0.07000000000000006
vn,5,1000,0.2899999999999999
vn,5,1500,0.25
vn,5,2000,0.21999999999999997
vn,5,3000,0.22999999999999998
vn,5,4000,0.20499999999999996
vn,5,5000,0.19499999999999995
vn,6,500,0.050000000000000044
vn,6,1000,0.29500000000000004
vn,6,1500,0.3500000000000001
vn,6,2000,0.33000000000000007
vn,6,3000,0.30500000000000005
vn,6,4000,0.30000000000000004
vn,6,5000,0.29500000000000004
vn,7,500,-0.010000000000000009
vn,7,1000,0.09500000000000008
vn,7,1500,0.10499999999999998
vn,7,2000,0.10999999999999999
vn,7,3000,0.12
vn,7,4000,0.11499999999999999
vn,7,5000,0.10999999999999999
vn,8,500,0.10000000000000009
vn,8,1000,0.2250000000000001
vn,8,1500,0.20499999999999996
vn,8,2000,0.18999999999999995
vn,8,3000,0.17499999999999993
vn,8,4000,0.16499999999999992
vn,8,5000,0.18499999999999994
vn,9,500,0.08999999999999997
vn,9,1000,0.19999999999999996
vn,9,1500,0.17999999999999994
vn,9,2000,0.16999999999999993
vn,9,3000,0.16000000000000003
vn,9,4000,0.15500000000000003
vn,9,5000,0.14500000000000002
vn,10,500,-0.010000000000000009
vn,10,1000,0.15000000000000002
vn,10,1500,0.20499999999999996
vn,10,2000,0.22999999999999998
vn,10,3000,0.20000000000000007
vn,10,4000,0.20000000000000007
vn,10,5000,0.20500000000000007
vn,11,500,0.040000000000000036
vn,11,1000,0.11499999999999999
vn,11,1500,0.16000000000000003
vn,11,2000,0.14500000000000002
vn,11,3000,0.14500000000000002
vn,11,4000,0.14
vn,11,5000,0.14
vn,12,500,0.06000000000000005
vn,12,1000,0.20000000000000007
vn,12,1500,0.21499999999999997
vn,12,2000,0.22999999999999998
vn,12,3000,0.22999999999999998
vn,12,4000,0.22999999999999998
vn,12,5000,0.22499999999999998
vn,13,500,-0.04999999999999993
