target_seed,donor_seed,acc_t1,acc_t3,gain
0,100,0.790000,0.695000,-0.095000
0,101,0.790000,0.740000,-0.050000
0,102,0.790000,0.760000,-0.030000
0,103,0.790000,0.725000,-0.065000
0,104,0.790000,0.860000,0.070000
0,105,0.790000,0.645000,-0.145000
0,106,0.790000,0.675000,-0.115000
0,107,0.790000,0.820000,0.030000
0,108,0.790000,0.815000,0.025000
0,109,0.790000,0.730000,-0.060000
0,110,0.790000,0.535000,-0.255000
0,111,0.790000,0.810000,0.020000
0,112,0.790000,0.655000,-0.135000
0,113,0.790000,0.805000,0.015000
0,114,0.790000,0.795000,0.005000
0,115,0.790000,0.655000,-0.135000
0,116,0.790000,0.800000,0.010000
0,117,0.790000,0.660000,-0.130000
0,118,0.790000,0.770000,-0.020000
0,119,0.790000,0.665000,-0.125000
1,100,0.730000,0.750000,0.020000
1,101,0.730000,0.785000,0.055000
1,102,0.730000,0.705000,-0.025000
1,103,0.730000,0.685000,-0.045000
1,104,0.730000,0.745000,0.015000
1,105,0.730000,0.730000,0.000000
1,106,0.730000,0.870000,0.140000
1,107,0.730000,0.465000,-0.265000
1,108,0.730000,0.765000,0.035000
1,109,0.730000,0.685000,-0.045000
1,110,0.730000,0.750000,0.020000
1,111,0.730000,0.790000,0.060000
1,112,0.730000,0.595000,-0.135000
1,113,0.730000,0.820000,0.090000
1,114,0.730000,0.770000,0.040000
1,115,0.730000,0.665000,-0.065000
1,116,0.730000,0.645000,-0.085000
1,117,0.730000,0.810000,0.080000
1,118,0.730000,0.710000,-0.020000
1,119,0.730000,0.800000,0.070000
2,100,0.750000,0.725000,-0.025000
2,101,0.750000,0.795000,0.045000
2,102,0.750000,0.840000,0.090000
2,103,0.750000,0.640000,-0.110000
2,104,0.750000,0.755000,0.005000
2,105,0.750000,0.425000,-0.325000
2,106,0.750000,0.795000,0.045000
2,107,0.750000,0.770000,0.020000
2,108,0.750000,0.790000,0.040000
2,109,0.750000,0.815000,0.065000
2,110,0.750000,0.580000,-0.170000
2,111,0.750000,0.845000,0.095000
2,112,0.750000,0.565000,-0.185000
2,113,0.750000,0.690000,-0.060000
2,114,0.750000,0.785000,0.035000
2,115,0.750000,0.830000,0.080000
2,116,0.750000,0.735000,-0.015000
2,117,0.750000,0.505000,-0.245000
2,118,0.750000,0.755000,0.005000
2,119,0.750000,0.570000,-0.180000
3,100,0.720000,0.610000,-0.110000
3,101,0.720000,0.705000,-0.015000
3,102,0.720000,0.620000,-0.100000
3,103,0.720000,0.535000,-0.185000
3,104,0.720000,0.665000,-0.055000
3,105,0.720000,0.560000,-0.160000
3,106,0.720000,0.430000,-0.290000
3,107,0.720000,0.645000,-0.075000
3,108,0.720000,0.685000,-0.035000
3,109,0.720000,0.650000,-0.070000
3,110,0.720000,0.505000,-0.215000
3,111,0.720000,0.635000,-0.085000
3,112,0.720000,0.590000,-0.130000
3,113,0.720000,0.535000,-0.185000
3,114,0.720000,0.605000,-0.115000
3,115,0.720000,0.575000,-0.145000
3,116,0.720000,0.550000,-0.170000
3,117,0.720000,0.560000,-0.160000
3,118,0.720000,0.610000,-0.110000
3,119,0.720000,0.460000,-0.260000
4,100,0.780000,0.705000,-0.075000
4,101,0.780000,0.770000,-0.010000
4,102,0.780000,0.635000,-0.145000
4,103,0.780000,0.645000,-0.135000
4,104,0.780000,0.700000,-0.080000
4,105,0.780000,0.800000,0.020000
4,106,0.780000,0.720000,-0.060000
4,107,0.780000,0.735000,-0.045000
4,108,0.780000,0.870000,0.090000
4,109,0.780000,0.550000,-0.230000
4,110,0.780000,0.700000,-0.080000
4,111,0.780000,0.740000,-0.040000
4,112,0.780000,0.695000,-0.085000
4,113,0.780000,0.740000,-0.040000
4,114,0.780000,0.735000,-0.045000
4,115,0.780000,0.745000,-0.035000
4,116,0.780000,0.590000,-0.190000
4,117,0.780000,0.740000,-0.040000
4,118,0.780000,0.780000,0.000000
4,119,0.780000,0.735000,-0.045000
5,100,0.695000,0.880000,0.185000
5,101,0.695000,0.780000,0.085000
5,102,0.695000,0.905000,0.210000
5,103,0.695000,0.785000,0.090000
5,104,0.695000,0.680000,-0.015000
5,105,0.695000,0.880000,0.185000
5,106,0.695000,0.655000,-0.040000
5,107,0.695000,0.740000,0.045000
5,108,0.695000,0.875000,0.180000
5,109,0.695000,0.850000,0.155000
5,110,0.695000,0.615000,-0.080000
5,111,0.695000,0.730000,0.035000
5,112,0.695000,0.660000,-0.035000
5,113,0.695000,0.865000,0.170000
5,114,0.695000,0.755000,0.060000
5,115,0.695000,0.600000,-0.095000
5,116,0.695000,0.705000,0.010000
5,117,0.695000,0.710000,0.015000
5,118,0.695000,0.725000,0.030000
5,119,0.695000,0.805000,0.110000
6,100,0.580000,0.520000,-0.060000
6,101,0.580000,0.620000,0.040000
6,102,0.580000,0.515000,-0.065000
6,103,0.580000,0.490000,-0.090000
6,104,0.580000,0.585000,0.005000
6,105,0.580000,0.365000,-0.215000
6,106,0.580000,0.570000,-0.010000
6,107,0.580000,0.525000,-0.055000
