seed,bl_acc_t1,bl_acc_t3,bl_gain,e1_acc_t1,e1_acc_t3,e1_acc_probmean,e1_acc_logprod,e2_acc_t1,e2_acc_t3,e2_acc_probmean,e2_acc_logprod,e2_acc_combiner,e3_acc_t3,c2_normmatched_acc_t1,c2_normmatched_acc_t3,c2_normmatched_gain,cos_div_clone_self,cos_div_normmatched,cos_div_raw,e1_gain_probmean,e1_gain_logprod,c2_std_acc_t1,c2_std_acc_t3,c2_std_gain,elapsed_s
0,0.795,0.95,0.15499999999999992,0.795,0.825,0.98,0.97,0.87,0.875,0.995,0.995,0.995,0.96,0.795,0.79,-0.005,0.6233478661072315,0.6190622197415402,0.5714561479700955,0.18499999999999994,0.17499999999999993,0.795,0.78,-0.015000000000000013,173.33766770362854
1,0.765,0.92,0.15500000000000003,0.765,0.775,0.85,0.865,0.86,0.89,0.985,1.0,1.0,0.99,0.765,0.735,-0.03,0.392598338421114,0.40851010368574253,0.4239752003011983,0.08499999999999996,0.09999999999999998,0.765,0.82,0.05499999999999994,163.8443009853363
2,0.725,0.955,0.22999999999999998,0.725,0.75,0.87,0.88,0.87,0.86,0.98,0.99,0.99,0.94,0.725,0.78,0.055,0.6243908708612156,0.6329284120192071,0.5808509505628912,0.14500000000000002,0.15500000000000003,0.725,0.855,0.13,163.13830161094666
3,0.71,0.88,0.17000000000000004,0.71,0.69,0.85,0.84,0.845,0.85,0.97,0.98,0.99,0.985,0.71,0.54,-0.17,0.9159871014550325,0.9265436994441748,0.7408051103615264,0.14,0.13,0.71,0.535,-0.17499999999999993,166.02186751365662
4,0.77,0.945,0.17499999999999993,0.77,0.77,0.89,0.91,0.875,0.905,0.985,0.995,0.99,0.945,0.77,0.61,-0.16,0.9615633131002173,0.9376429765867066,0.6862112917417472,0.12,0.14,0.77,0.66,-0.10999999999999999,160.40623116493225
5,0.68,0.97,0.2899999999999999,0.68,0.7,0.815,0.82,0.875,0.885,0.995,1.0,0.995,0.97,0.68,0.895,0.215,0.7272660453930575,0.6976313305422359,0.7092572283880142,0.1349999999999999,0.1399999999999999,0.68,0.855,0.17499999999999993,166.3140025138855
6,0.575,0.87,0.29500000000000004,0.575,0.68,0.725,0.73,0.865,0.885,0.995,0.99,0.995,0.975,0.575,0.615,0.04,0.686270470537396,0.6552386920990375,0.6298272777778108,0.15000000000000002,0.15500000000000003,0.575,0.545,-0.029999999999999916,161.44222378730774
7,0.825,0.92,0.09500000000000008,0.825,0.785,0.955,0.955,0.86,0.825,0.985,1.0,0.995,0.995,0.825,0.59,-0.235,0.7624358371366579,0.7695969661543015,0.6515884459930197,0.13,0.13,0.825,0.58,-0.245,168.00124621391296
8,0.705,0.93,0.2250000000000001,0.705,0.755,0.83,0.815,0.83,0.88,0.985,0.99,0.995,0.95,0.705,0.83,0.125,0.6081993209169125,0.5658428593156786,0.5207170222945697,0.125,0.10999999999999999,0.705,0.755,0.050000000000000044,161.03459429740906
9,0.775,0.975,0.19999999999999996,0.775,0.76,0.91,0.925,0.905,0.84,0.99,0.995,1.0,0.985,0.775,0.715,-0.06,0.6925548070668123,0.695403770315782,0.7284713720378412,0.135,0.15000000000000002,0.775,0.735,-0.040000000000000036,166.8564383983612
10,0.64,0.79,0.15000000000000002,0.64,0.645,0.795,0.785,0.83,0.87,0.965,0.985,0.99,0.965,0.64,0.565,-0.075,0.5600770932542748,0.5517917754922749,0.6313918358516214,0.15500000000000003,0.14500000000000002,0.64,0.525,-0.11499999999999999,164.1659553050995
