seed,noise,bl_acc_t1,bl_acc_t3,bl_gain,e1_acc_t1,e1_acc_t3,e1_acc_probmean,e1_acc_logprod,e1_gain_t1_to_t3,e1_gain_probmean,e1_gain_logprod,elapsed_s
0,0.1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.526883363723755
1,0.1,1.0,1.0,0.0,1.0,0.99,1.0,1.0,-0.010000000000000009,0.0,0.0,53.58006286621094
2,0.1,0.995,1.0,0.0050000000000000044,0.995,1.0,1.0,1.0,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,53.96284556388855
3,0.1,0.89,1.0,0.10999999999999999,0.89,0.915,0.925,0.93,0.025000000000000022,0.03500000000000003,0.040000000000000036,55.37664222717285
4,0.1,0.97,1.0,0.030000000000000027,0.97,0.98,1.0,1.0,0.010000000000000009,0.030000000000000027,0.030000000000000027,56.41673445701599
5,0.1,0.995,1.0,0.0050000000000000044,0.995,1.0,1.0,1.0,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,53.29763221740723
6,0.1,0.73,1.0,0.27,0.73,0.755,0.705,0.705,0.025000000000000022,-0.025000000000000022,-0.025000000000000022,53.84007978439331
7,0.1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.69195079803467
8,0.1,0.95,1.0,0.050000000000000044,0.95,0.965,0.985,0.985,0.015000000000000013,0.03500000000000003,0.03500000000000003,54.28293323516846
9,0.1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,58.435343980789185
10,0.1,0.9,0.98,0.07999999999999996,0.9,0.92,0.955,0.955,0.020000000000000018,0.05499999999999994,0.05499999999999994,53.72642183303833
11,0.1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.478877544403076
12,0.1,0.985,1.0,0.015000000000000013,0.985,0.965,1.0,1.0,-0.020000000000000018,0.015000000000000013,0.015000000000000013,53.47076439857483
13,0.1,1.0,1.0,0.0,1.0,0.98,1.0,1.0,-0.020000000000000018,0.0,0.0,54.257723808288574
14,0.1,0.82,0.935,0.1150000000000001,0.82,0.795,0.83,0.83,-0.02499999999999991,0.010000000000000009,0.010000000000000009,56.204158544540405
15,0.1,0.65,0.83,0.17999999999999994,0.65,0.66,0.625,0.63,0.010000000000000009,-0.025000000000000022,-0.020000000000000018,55.84233641624451
16,0.1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.84211254119873
17,0.1,1.0,0.98,-0.020000000000000018,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.35333037376404
18,0.1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,53.43436551094055
19,0.1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,54.119741678237915
0,0.3,0.97,1.0,0.030000000000000027,0.97,0.975,1.0,1.0,0.0050000000000000044,0.030000000000000027,0.030000000000000027,
1,0.3,0.9,0.995,0.09499999999999997,0.9,0.9,0.95,0.955,0.0,0.04999999999999993,0.05499999999999994,
2,0.3,0.9,1.0,0.09999999999999998,0.9,0.885,0.965,0.97,-0.015000000000000013,0.06499999999999995,0.06999999999999995,
3,0.3,0.84,0.96,0.12,0.84,0.855,0.885,0.86,0.015000000000000013,0.04500000000000004,0.020000000000000018,
4,0.3,0.865,1.0,0.135,0.865,0.865,0.925,0.925,0.0,0.06000000000000005,0.06000000000000005,
5,0.3,0.835,1.0,0.16500000000000004,0.835,0.88,0.92,0.93,0.04500000000000004,0.08500000000000008,0.09500000000000008,
6,0.3,0.69,0.965,0.275,0.69,0.76,0.75,0.745,0.07000000000000006,0.06000000000000005,0.05500000000000005,
7,0.3,0.945,0.99,0.04500000000000004,0.945,0.955,0.995,0.995,0.010000000000000009,0.050000000000000044,0.050000000000000044,
8,0.3,0.835,0.975,0.14,0.835,0.865,0.92,0.915,0.030000000000000027,0.08500000000000008,0.08000000000000007,
9,0.3,0.915,1.0,0.08499999999999996,0.915,0.895,0.99,0.995,-0.020000000000000018,0.07499999999999996,0.07999999999999996,
10,0.3,0.79,0.875,0.08499999999999996,0.79,0.8,0.865,0.86,0.010000000000000009,0.07499999999999996,0.06999999999999995,
11,0.3,0.945,1.0,0.05500000000000005,0.945,0.93,0.995,0.995,-0.014999999999999902,0.050000000000000044,0.050000000000000044,
12,0.3,0.835,0.99,0.15500000000000003,0.835,0.815,0.935,0.94,-0.020000000000000018,0.10000000000000009,0.10499999999999998,
13,0.3,0.92,0.98,0.05999999999999994,0.92,0.84,0.965,0.965,-0.08000000000000007,0.04499999999999993,0.04499999999999993,
14,0.3,0.635,0.865,0.22999999999999998,0.635,0.65,0.72,0.74,0.015000000000000013,0.08499999999999996,0.10499999999999998,
15,0.3,0.685,0.885,0.19999999999999996,0.685,0.685,0.72,0.725,0.0,0.03499999999999992,0.039999999999999925,
16,0.3,0.955,0.995,0.040000000000000036,0.955,0.95,0.99,0.99,-0.0050000000000000044,0.03500000000000003,0.03500000000000003,
17,0.3,0.875,0.93,0.05500000000000005,0.875,0.92,0.985,0.985,0.04500000000000004,0.10999999999999999,0.10999999999999999,
18,0.3,0.95,0.99,0.040000000000000036,0.95,0.96,1.0,1.0,0.010000000000000009,0.050000000000000044,0.050000000000000044,
19,0.3,0.93,0.985,0.05499999999999994,0.93,0.925,1.0,1.0,-0.0050000000000000044,0.06999999999999995,0.06999999999999995,
0,0.5,0.795,0.95,0.15499999999999992,0.795,0.825,0.98,0.97,0.029999999999999916,0.18499999999999994,0.17499999999999993,
1,0.5,0.765,0.92,0.15500000000000003,0.765,0.775,0.85,0.865,0.010000000000000009,0.08499999999999996,0.09999999999999998,
2,0.5,0.725,0.955,0.22999999999999998,0.725,0.75,0.87,0.88,0.025000000000000022,0.14500000000000002,0.15500000000000003,
3,0.5,0.71,0.88,0.17000000000000004,0.71,0.69,0.85,0.84,-0.020000000000000018,0.14,0.13,
4,0.5,0.77,0.945,0.17499999999999993,0.77,0.77,0.89,0.91,0.0,0.12,0.14,
5,0.5,0.68,0.97,0.2899999999999999,0.68,0.7,0.815,0.82,0.019999999999999907,0.1349999999999999,0.1399999999999999,
6,0.5,0.575,0.87,0.29500000000000004,0.575,0.68,0.725,0.73,0.1050000000000001,0.15000000000000002,0.15500000000000003,
7,0.5,0.825,0.92,0.09500000000000008,0.825,0.785,0.955,0.955,-0.039999999999999925,0.13,0.13,
8,0.5,0.705,0.93,0.2250000000000001,0.705,0.755,0.83,0.815,0.050000000000000044,0.125,0.10999999999999999,
9,0.5,0.775,0.975,0.19999999999999996,0.775,0.76,0.91,0.925,-0.015000000000000013,0.135,0.15000000000000002,
