seed,bl_static_acc_t1,bl_static_acc_t3,bl_static_gain,e1_on_static_acc_t1,e1_on_static_acc_t3,e1_on_static_gain,e1_on_static_gain_probmean,e1_on_static_gain_logprod,bl_vn_on_static_acc_t1,bl_vn_on_static_acc_t3,bl_vn_on_static_gain,elapsed_s
0,0.8,0.82,0.019999999999999907,0.815,0.815,0.0,0.0,0.0,0.815,0.81,-0.004999999999999893,110.03314805030823
1,0.8,0.845,0.04499999999999993,0.81,0.81,0.0,0.0,0.0,0.81,0.77,-0.040000000000000036,106.73318290710449
2,0.635,0.805,0.17000000000000004,0.695,0.695,0.0,0.0,0.0,0.695,0.8,0.1050000000000001,110.25742197036743
3,0.755,0.795,0.040000000000000036,0.74,0.74,0.0,0.0,0.0,0.74,0.745,0.0050000000000000044,107.45534896850586
4,0.78,0.845,0.06499999999999995,0.77,0.77,0.0,0.0,0.0,0.77,0.84,0.06999999999999995,106.11513376235962
5,0.735,0.8,0.06500000000000006,0.715,0.715,0.0,0.0,0.0,0.715,0.795,0.08000000000000007,109.41194105148315
6,0.77,0.705,-0.06500000000000006,0.635,0.635,0.0,0.0,0.0,0.635,0.72,0.08499999999999996,107.0251829624176
7,0.82,0.825,0.0050000000000000044,0.84,0.84,0.0,0.0,0.0,0.84,0.725,-0.11499999999999999,106.31820368766785
8,0.7,0.75,0.050000000000000044,0.71,0.71,0.0,0.0,0.0,0.71,0.755,0.04500000000000004,111.5334119796753
9,0.79,0.825,0.03499999999999992,0.74,0.74,0.0,0.0,0.0,0.74,0.82,0.07999999999999996,105.58140850067139
10,0.7,0.74,0.040000000000000036,0.645,0.645,0.0,0.0,0.0,0.645,0.69,0.04499999999999993,106.00529718399048
11,0.765,0.76,-0.0050000000000000044,0.795,0.795,0.0,0.0,0.0,0.795,0.785,-0.010000000000000009,111.63833928108215
12,0.72,0.795,0.07500000000000007,0.755,0.755,0.0,0.0,0.0,0.755,0.81,0.05500000000000005,105.57134079933167
13,0.735,0.685,-0.04999999999999993,0.775,0.775,0.0,0.0,0.0,0.775,0.81,0.03500000000000003,106.81722164154053
14,0.73,0.74,0.010000000000000009,0.595,0.595,0.0,0.0,0.0,0.595,0.74,0.14500000000000002,110.9075345993042
15,0.64,0.7,0.05999999999999994,0.615,0.615,0.0,0.0,0.0,0.615,0.695,0.07999999999999996,106.33125615119934
16,0.775,0.85,0.07499999999999996,0.78,0.78,0.0,0.0,0.0,0.78,0.82,0.039999999999999925,108.0026924610138
17,0.715,0.8,0.08500000000000008,0.705,0.705,0.0,0.0,0.0,0.705,0.755,0.050000000000000044,107.62925624847412
18,0.76,0.795,0.03500000000000003,0.755,0.755,0.0,0.0,0.0,0.755,0.76,0.0050000000000000044,106.03949499130249
19,0.84,0.81,-0.029999999999999916,0.805,0.805,0.0,0.0,0.0,0.805,0.81,0.0050000000000000044,112.14231467247009
