seed_model,alpha,interp_type,acc_t1,acc_t3,gain
0,0.0,zero,0.850000,0.850000,0.000000
0,0.0,shuffle,0.850000,0.680000,-0.170000
0,0.0,clone,0.850000,0.820000,-0.030000
0,0.1,zero,0.850000,0.860000,0.010000
0,0.1,shuffle,0.850000,0.690000,-0.160000
0,0.1,clone,0.850000,0.830000,-0.020000
0,0.2,zero,0.850000,0.865000,0.015000
0,0.2,shuffle,0.850000,0.745000,-0.105000
0,0.2,clone,0.850000,0.840000,-0.010000
0,0.3,zero,0.850000,0.870000,0.020000
0,0.3,shuffle,0.850000,0.780000,-0.070000
0,0.3,clone,0.850000,0.860000,0.010000
0,0.4,zero,0.850000,0.865000,0.015000
0,0.4,shuffle,0.850000,0.800000,-0.050000
0,0.4,clone,0.850000,0.865000,0.015000
0,0.5,zero,0.850000,0.860000,0.010000
0,0.5,shuffle,0.850000,0.830000,-0.020000
0,0.5,clone,0.850000,0.855000,0.005000
0,0.6,zero,0.850000,0.855000,0.005000
0,0.6,shuffle,0.850000,0.850000,0.000000
0,0.6,clone,0.850000,0.855000,0.005000
0,0.7,zero,0.850000,0.850000,0.000000
0,0.7,shuffle,0.850000,0.850000,0.000000
0,0.7,clone,0.850000,0.860000,0.010000
0,0.8,zero,0.850000,0.840000,-0.010000
0,0.8,shuffle,0.850000,0.845000,-0.005000
0,0.8,clone,0.850000,0.855000,0.005000
0,0.9,zero,0.850000,0.840000,-0.010000
0,0.9,shuffle,0.850000,0.850000,0.000000
0,0.9,clone,0.850000,0.850000,0.000000
0,1.0,zero,0.850000,0.835000,-0.015000
0,1.0,shuffle,0.850000,0.835000,-0.015000
0,1.0,clone,0.850000,0.835000,-0.015000
1,0.0,zero,0.735000,0.735000,0.000000
1,0.0,shuffle,0.735000,0.570000,-0.165000
1,0.0,clone,0.735000,0.785000,0.050000
1,0.1,zero,0.735000,0.770000,0.035000
1,0.1,shuffle,0.735000,0.610000,-0.125000
1,0.1,clone,0.735000,0.810000,0.075000
1,0.2,zero,0.735000,0.790000,0.055000
1,0.2,shuffle,0.735000,0.650000,-0.085000
1,0.2,clone,0.735000,0.810000,0.075000
1,0.3,zero,0.735000,0.810000,0.075000
1,0.3,shuffle,0.735000,0.715000,-0.020000
1,0.3,clone,0.735000,0.805000,0.070000
1,0.4,zero,0.735000,0.815000,0.080000
1,0.4,shuffle,0.735000,0.730000,-0.005000
1,0.4,clone,0.735000,0.800000,0.065000
1,0.5,zero,0.735000,0.815000,0.080000
1,0.5,shuffle,0.735000,0.740000,0.005000
1,0.5,clone,0.735000,0.810000,0.075000
1,0.6,zero,0.735000,0.820000,0.085000
1,0.6,shuffle,0.735000,0.790000,0.055000
1,0.6,clone,0.735000,0.825000,0.090000
1,0.7,zero,0.735000,0.835000,0.100000
1,0.7,shuffle,0.735000,0.795000,0.060000
1,0.7,clone,0.735000,0.830000,0.095000
1,0.8,zero,0.735000,0.840000,0.105000
1,0.8,shuffle,0.735000,0.810000,0.075000
