seed_model,setting,group,noise_level,gain,acc_t1,acc_t3
16,static,C2,0.5,0.030000000000000027,0.775,0.805
16,static,Baseline,0.5,0.07499999999999996,0.775,0.85
16,vn,Baseline,0.5,0.1449999999999999,0.795,0.94
16,vn,A,0.5,0.02499999999999991,0.795,0.82
16,vn,C1,0.5,-0.16200000000000003,0.7950000000000004,0.6330000000000002
16,vn,C2,0.5,-0.010000000000000009,0.795,0.785
16,static,C2-affine,0.5,0.010000000000000009,0.775,0.785
16,vn,C2-affine,0.5,0.12,0.795,0.915
16,static,C2-mlp,0.5,0.07499999999999996,0.775,0.85
16,vn,C2-mlp,0.5,0.11499999999999999,0.795,0.91
12,static,C2,0.5,-0.05499999999999994,0.72,0.665
12,static,Baseline,0.5,0.07500000000000007,0.72,0.795
12,vn,Baseline,0.5,0.20000000000000007,0.705,0.905
12,vn,A,0.5,0.015000000000000013,0.705,0.72
12,vn,C1,0.5,-0.1441666666666666,0.7049999999999996,0.5608333333333334
12,vn,C2,0.5,-0.05499999999999994,0.705,0.65
12,static,C2-affine,0.5,0.11499999999999999,0.72,0.835
12,vn,C2-affine,0.5,0.20000000000000007,0.705,0.905
12,static,C2-mlp,0.5,0.11499999999999999,0.72,0.835
12,vn,C2-mlp,0.5,0.21000000000000008,0.705,0.915
2,static,C2,0.5,0.06999999999999995,0.635,0.705
2,static,Baseline,0.5,0.17000000000000004,0.635,0.805
2,vn,Baseline,0.5,0.22999999999999998,0.725,0.955
2,vn,A,0.5,0.025000000000000022,0.725,0.75
2,vn,C1,0.5,-0.11516666666666667,0.7250000000000002,0.6098333333333332
2,vn,C2,0.5,0.13,0.725,0.855
2,static,C2-affine,0.5,0.13,0.635,0.765
2,vn,C2-affine,0.5,0.11499999999999999,0.725,0.84
2,static,C2-mlp,0.5,0.135,0.635,0.77
2,vn,C2-mlp,0.5,0.16000000000000003,0.725,0.885
8,static,C2,0.5,0.010000000000000009,0.7,0.71
8,static,Baseline,0.5,0.050000000000000044,0.7,0.75
8,vn,Baseline,0.5,0.2250000000000001,0.705,0.93
8,vn,A,0.5,0.050000000000000044,0.705,0.755
8,vn,C1,0.5,0.044500000000000046,0.7049999999999996,0.7494999999999998
8,vn,C2,0.5,0.050000000000000044,0.705,0.755
8,static,C2-affine,0.5,0.050000000000000044,0.7,0.75
8,vn,C2-affine,0.5,0.22000000000000008,0.705,0.925
8,static,C2-mlp,0.5,0.06500000000000006,0.7,0.765
8,vn,C2-mlp,0.5,0.24,0.705,0.945
15,static,C2,0.5,-0.35000000000000003,0.64,0.29
15,static,Baseline,0.5,0.05999999999999994,0.64,0.7
15,vn,Baseline,0.5,0.21000000000000008,0.57,0.78
15,vn,A,0.5,0.040000000000000036,0.57,0.61
15,vn,C1,0.5,0.06816666666666672,0.5700000000000001,0.6381666666666668
15,vn,C2,0.5,-0.10499999999999993,0.57,0.465
15,static,C2-affine,0.5,0.05999999999999994,0.64,0.7
15,vn,C2-affine,0.5,0.18000000000000005,0.57,0.75
15,static,C2-mlp,0.5,0.08999999999999997,0.64,0.73
15,vn,C2-mlp,0.5,0.19500000000000006,0.57,0.765
1,static,C2,0.5,-0.015000000000000013,0.8,0.785
1,static,Baseline,0.5,0.04499999999999993,0.8,0.845
1,vn,Baseline,0.5,0.15500000000000003,0.765,0.92
1,vn,A,0.5,0.010000000000000009,0.765,0.775
1,vn,C1,0.5,-0.2,0.7650000000000001,0.565
1,vn,C2,0.5,0.05499999999999994,0.765,0.82
1,static,C2-affine,0.5,-0.0050000000000000044,0.8,0.795
1,vn,C2-affine,0.5,0.010000000000000009,0.765,0.775
1,static,C2-mlp,0.5,0.014999999999999902,0.8,0.815
1,vn,C2-mlp,0.5,0.05499999999999994,0.765,0.82
19,static,C2,0.5,-0.2849999999999999,0.84,0.555
19,static,Baseline,0.5,-0.029999999999999916,0.84,0.81
19,vn,Baseline,0.5,0.20500000000000007,0.72,0.925
19,vn,A,0.5,0.07500000000000007,0.72,0.795
19,vn,C1,0.5,-0.13316666666666668,0.7199999999999999,0.5868333333333332
19,vn,C2,0.5,-0.18499999999999994,0.72,0.535
19,static,C2-affine,0.5,-0.025000000000000022,0.84,0.815
19,vn,C2-affine,0.5,0.10999999999999999,0.72,0.83
19,static,C2-mlp,0.5,-0.015000000000000013,0.84,0.825
19,vn,C2-mlp,0.5,0.14500000000000002,0.72,0.865
5,static,C2,0.5,-0.015000000000000013,0.735,0.72
5,static,Baseline,0.5,0.06500000000000006,0.735,0.8
5,vn,Baseline,0.5,0.2899999999999999,0.68,0.97
5,vn,A,0.5,0.019999999999999907,0.68,0.7
5,vn,C1,0.5,-0.0838333333333334,0.6799999999999999,0.5961666666666666
5,vn,C2,0.5,0.17499999999999993,0.68,0.855
5,static,C2-affine,0.5,0.03500000000000003,0.735,0.77
5,vn,C2-affine,0.5,0.2649999999999999,0.68,0.945
5,static,C2-mlp,0.5,0.07500000000000007,0.735,0.81
5,vn,C2-mlp,0.5,0.2749999999999999,0.68,0.955
11,static,C2,0.5,-0.22499999999999998,0.765,0.54
11,static,Baseline,0.5,-0.0050000000000000044,0.765,0.76
11,vn,Baseline,0.5,0.11499999999999999,0.81,0.925
11,vn,A,0.5,-0.010000000000000009,0.81,0.8
11,vn,C1,0.5,-0.23883333333333343,0.8099999999999998,0.5711666666666667
11,vn,C2,0.5,-0.050000000000000044,0.81,0.76
11,static,C2-affine,0.5,0.010000000000000009,0.765,0.775
11,vn,C2-affine,0.5,0.11499999999999999,0.81,0.925
11,static,C2-mlp,0.5,0.020000000000000018,0.765,0.785
11,vn,C2-mlp,0.5,0.1299999999999999,0.81,0.94
4,static,C2,0.5,-0.16500000000000004,0.78,0.615
4,static,Baseline,0.5,0.06499999999999995,0.78,0.845
4,vn,Baseline,0.5,0.17499999999999993,0.77,0.945
4,vn,A,0.5,0.0,0.77,0.77
4,vn,C1,0.5,0.001833333333333335,0.7699999999999999,0.7718333333333334
4,vn,C2,0.5,-0.10999999999999999,0.77,0.66
4,static,C2-affine,0.5,0.08499999999999996,0.78,0.865
4,vn,C2-affine,0.5,0.14500000000000002,0.77,0.915
4,static,C2-mlp,0.5,0.08999999999999997,0.78,0.87
4,vn,C2-mlp,0.5,0.14,0.77,0.91
