hidden_width,seed,condition,acc_t1,acc_t3,gain
10,0,baseline,0.780000,0.805000,0.025000
10,0,group_a,0.780000,0.780000,0.000000
10,0,group_c1,0.780000,0.638333,-0.141667
10,0,group_c2,0.780000,0.745000,-0.035000
10,1,baseline,0.725000,0.845000,0.120000
10,1,group_a,0.725000,0.725000,0.000000
10,1,group_c1,0.725000,0.604500,-0.120500
10,1,group_c2,0.725000,0.740000,0.015000
10,2,baseline,0.700000,0.795000,0.095000
10,2,group_a,0.700000,0.700000,0.000000
10,2,group_c1,0.700000,0.649833,-0.050167
10,2,group_c2,0.700000,0.710000,0.010000
10,3,baseline,0.745000,0.840000,0.095000
10,3,group_a,0.745000,0.745000,0.000000
10,3,group_c1,0.745000,0.683167,-0.061833
10,3,group_c2,0.745000,0.510000,-0.235000
10,4,baseline,0.765000,0.815000,0.050000
10,4,group_a,0.765000,0.765000,0.000000
10,4,group_c1,0.765000,0.714667,-0.050333
10,4,group_c2,0.765000,0.595000,-0.170000
10,5,baseline,0.750000,0.765000,0.015000
10,5,group_a,0.750000,0.750000,0.000000
10,5,group_c1,0.750000,0.702333,-0.047667
10,5,group_c2,0.750000,0.750000,0.000000
10,6,baseline,0.685000,0.670000,-0.015000
10,6,group_a,0.685000,0.685000,0.000000
10,6,group_c1,0.685000,0.606667,-0.078333
10,6,group_c2,0.685000,0.605000,-0.080000
10,7,baseline,0.750000,0.785000,0.035000
10,7,group_a,0.750000,0.750000,0.000000
10,7,group_c1,0.750000,0.635167,-0.114833
10,7,group_c2,0.750000,0.705000,-0.045000
10,8,baseline,0.655000,0.755000,0.100000
10,8,group_a,0.655000,0.655000,0.000000
10,8,group_c1,0.655000,0.696000,0.041000
10,8,group_c2,0.655000,0.705000,0.050000
10,9,baseline,0.750000,0.820000,0.070000
10,9,group_a,0.750000,0.750000,0.000000
10,9,group_c1,0.750000,0.704000,-0.046000
10,9,group_c2,0.750000,0.700000,-0.050000
10,10,baseline,0.665000,0.740000,0.075000
10,10,group_a,0.665000,0.665000,0.000000
