hidden_width,seed,condition,acc_t1,acc_t3,gain
10,0,baseline,0.790000,0.935000,0.145000
10,0,group_a,0.790000,0.775000,-0.015000
10,0,group_c1,0.790000,0.615500,-0.174500
10,0,group_c2,0.790000,0.695000,-0.095000
10,1,baseline,0.730000,0.910000,0.180000
10,1,group_a,0.730000,0.770000,0.040000
10,1,group_c1,0.730000,0.560667,-0.169333
10,1,group_c2,0.730000,0.785000,0.055000
10,2,baseline,0.750000,0.945000,0.195000
10,2,group_a,0.750000,0.720000,-0.030000
10,2,group_c1,0.750000,0.606333,-0.143667
10,2,group_c2,0.750000,0.840000,0.090000
10,3,baseline,0.720000,0.875000,0.155000
10,3,group_a,0.720000,0.705000,-0.015000
10,3,group_c1,0.720000,0.650000,-0.070000
10,3,group_c2,0.720000,0.535000,-0.185000
10,4,baseline,0.780000,0.975000,0.195000
10,4,group_a,0.780000,0.770000,-0.010000
10,4,group_c1,0.780000,0.769500,-0.010500
10,4,group_c2,0.780000,0.700000,-0.080000
10,5,baseline,0.695000,0.940000,0.245000
10,5,group_a,0.695000,0.700000,0.005000
10,5,group_c1,0.695000,0.575167,-0.119833
10,5,group_c2,0.695000,0.880000,0.185000
10,6,baseline,0.580000,0.900000,0.320000
10,6,group_a,0.580000,0.595000,0.015000
10,6,group_c1,0.580000,0.539833,-0.040167
10,6,group_c2,0.580000,0.570000,-0.010000
10,7,baseline,0.775000,0.910000,0.135000
10,7,group_a,0.775000,0.755000,-0.020000
10,7,group_c1,0.775000,0.554000,-0.221000
10,7,group_c2,0.775000,0.550000,-0.225000
10,8,baseline,0.665000,0.910000,0.245000
10,8,group_a,0.665000,0.735000,0.070000
10,8,group_c1,0.665000,0.754833,0.089833
10,8,group_c2,0.665000,0.730000,0.065000
10,9,baseline,0.760000,0.980000,0.220000
10,9,group_a,0.760000,0.770000,0.010000
10,9,group_c1,0.760000,0.672000,-0.088000
10,9,group_c2,0.760000,0.755000,-0.005000
10,10,baseline,0.655000,0.820000,0.165000
10,10,group_a,0.655000,0.665000,0.010000
10,10,group_c1,0.655000,0.614000,-0.041000
10,10,group_c2,0.655000,0.510000,-0.145000
10,11,baseline,0.815000,0.930000,0.115000
10,11,group_a,0.815000,0.770000,-0.045000
10,11,group_c1,0.815000,0.570167,-0.244833
10,11,group_c2,0.815000,0.795000,-0.020000
10,12,baseline,0.735000,0.910000,0.175000
10,12,group_a,0.735000,0.680000,-0.055000
10,12,group_c1,0.735000,0.576500,-0.158500
10,12,group_c2,0.735000,0.630000,-0.105000
10,13,baseline,0.725000,0.940000,0.215000
10,13,group_a,0.725000,0.760000,0.035000
10,13,group_c1,0.725000,0.613000,-0.112000
10,13,group_c2,0.725000,0.615000,-0.110000
10,14,baseline,0.595000,0.850000,0.255000
10,14,group_a,0.595000,0.625000,0.030000
10,14,group_c1,0.595000,0.506333,-0.088667
10,14,group_c2,0.595000,0.540000,-0.055000
