seed,raw_c2_gain,normmatched_c2_gain,cos_div_clone,cos_div_normmatched
0,-0.045,-0.05,0.5298061820271323,0.535712589369517
1,-0.015,-0.12,0.4898466558123765,0.4938766177923379
2,0.07,0.015,0.568336254360589,0.5781235089337385
3,-0.29,-0.29,0.9617674040630974,0.9709190786231504
4,-0.165,-0.2,1.0541272434741367,1.069176276777949
5,-0.015,-0.005,0.7413077348781245,0.7101596815290344
6,-0.175,-0.125,0.502589122852701,0.48590810948988916
7,-0.2,-0.295,0.651043701218225,0.6452147773307894
8,0.01,0.09,0.8199398031935874,0.7854599414662417
9,-0.07,-0.04,0.7803469629144943,0.7709241753982634
10,-0.195,-0.16,0.4968944549605902,0.49144962205952836
11,-0.225,-0.205,0.4442830330324574,0.4403208148316229
12,-0.055,-0.08,0.5229019708870034,0.5274169464921745
13,-0.235,-0.235,0.6623003385696826,0.665377723916745
14,-0.185,-0.13,0.7800705833308836,0.7783039190288678
15,-0.35,-0.035,0.8322951078373834,0.7796248434157391
16,0.03,0.055,0.4421092501319093,0.4538796407683546
17,-0.045,-0.05,0.6108456086324927,0.6076196698740359
18,0.01,0.01,0.5662399573512481,0.5763365098309872
19,-0.285,-0.215,0.6152043100163864,0.6137165680314155
