seed,setting,group,gain,params
0,static,Baseline,0.019999999999999907,0
0,static,C2-raw,-0.04500000000000004,0
0,vn,Baseline,0.15499999999999992,0
0,vn,C2-raw,-0.015000000000000013,0
0,static,C2-affine,-0.025000000000000022,30
0,vn,C2-affine,0.15999999999999992,30
0,static,C2-MLP-small,0.019999999999999907,181
0,vn,C2-MLP-small,0.1499999999999999,181
0,static,C2-MLP-medium,0.0,4869
0,vn,C2-MLP-medium,0.15499999999999992,4869
0,static,C2-MLP-large,0.0,17925
0,vn,C2-MLP-large,0.15499999999999992,17925
1,static,Baseline,0.04499999999999993,0
1,static,C2-raw,-0.015000000000000013,0
1,vn,Baseline,0.15500000000000003,0
1,vn,C2-raw,0.05499999999999994,0
1,static,C2-affine,0.0050000000000000044,30
1,vn,C2-affine,-0.010000000000000009,30
1,static,C2-MLP-small,0.014999999999999902,181
1,vn,C2-MLP-small,0.030000000000000027,181
1,static,C2-MLP-medium,0.019999999999999907,4869
1,vn,C2-MLP-medium,0.06999999999999995,4869
1,static,C2-MLP-large,0.029999999999999916,17925
1,vn,C2-MLP-large,0.06499999999999995,17925
2,static,Baseline,0.17000000000000004,0
2,static,C2-raw,0.06999999999999995,0
2,vn,Baseline,0.22999999999999998,0
2,vn,C2-raw,0.13,0
2,static,C2-affine,0.13,30
2,vn,C2-affine,0.135,30
2,static,C2-MLP-small,0.13,181
2,vn,C2-MLP-small,0.15500000000000003,181
2,static,C2-MLP-medium,0.16500000000000004,4869
2,vn,C2-MLP-medium,0.16500000000000004,4869
2,static,C2-MLP-large,0.135,17925
2,vn,C2-MLP-large,0.16500000000000004,17925
3,static,Baseline,0.040000000000000036,0
3,static,C2-raw,-0.29,0
3,vn,Baseline,0.17000000000000004,0
3,vn,C2-raw,-0.17499999999999993,0
3,static,C2-affine,-0.050000000000000044,30
3,vn,C2-affine,0.10499999999999998,30
3,static,C2-MLP-small,-0.010000000000000009,181
3,vn,C2-MLP-small,0.18500000000000005,181
3,static,C2-MLP-medium,0.015000000000000013,4869
3,vn,C2-MLP-medium,0.21000000000000008,4869
3,static,C2-MLP-large,0.020000000000000018,17925
3,vn,C2-MLP-large,0.21500000000000008,17925
4,static,Baseline,0.06499999999999995,0
