w1,w2,w3,tau,seed_model,acc_t1,acc_t2,acc_t3,gain,r_norm,delta_norm
0.0,0.1,1.0,1.5,4,0.76,0.86,0.835,0.07499999999999996,3.307065092776582,1.6594971715361162
0.0,0.1,1.0,2.0,6,0.765,0.705,0.7,-0.06500000000000006,2.2164100141278555,0.9838375554859673
0.0,0.1,1.0,2.0,2,0.625,0.79,0.805,0.18000000000000005,2.946720647744411,2.427130655364911
0.0,0.1,1.0,1.5,5,0.75,0.735,0.79,0.040000000000000036,2.72162571519633,1.6159251528095633
0.0,0.1,1.0,2.0,7,0.82,0.835,0.82,0.0,2.3348262570891127,1.4430494699467693
0.0,0.1,1.0,2.0,4,0.795,0.85,0.85,0.05499999999999994,2.743940447688426,1.6582683909157152
0.0,0.1,1.0,1.5,8,0.665,0.76,0.765,0.09999999999999998,3.175359846695152,2.258925372083187
0.0,0.1,1.0,2.0,5,0.74,0.74,0.79,0.050000000000000044,2.4836983123504752,1.46787148529648
0.0,0.1,1.0,1.0,2,0.68,0.755,0.785,0.10499999999999998,3.4719228984320614,2.59496276478638
0.0,0.1,1.0,1.0,6,0.7,0.685,0.675,-0.02499999999999991,3.0975135628305823,1.3096415669076225
0.0,0.1,1.0,1.0,7,0.75,0.765,0.755,0.0050000000000000044,3.031980108890258,1.6331492009943156
0.0,0.1,1.0,1.5,1,0.785,0.83,0.85,0.06499999999999995,2.9851062243264117,1.899104333591258
0.0,0.1,1.0,2.0,3,0.725,0.75,0.785,0.06000000000000005,2.9726021953773194,2.0723418952274653
0.0,0.1,1.0,1.5,0,0.785,0.825,0.825,0.039999999999999925,3.1928496907080137,1.925022543518315
0.0,0.1,1.0,1.5,9,0.76,0.83,0.83,0.06999999999999995,2.833268279745523,1.824352986765623
0.0,0.1,1.0,1.5,6,0.735,0.685,0.68,-0.05499999999999994,2.6034839647617942,1.1098480205333903
0.0,0.1,1.0,1.0,5,0.73,0.69,0.755,0.025000000000000022,2.945148983112081,1.714770138704178
0.0,0.1,1.0,2.0,0,0.79,0.82,0.82,0.029999999999999916,2.6101743537699904,1.9392459998363956
0.0,0.1,1.0,2.0,1,0.8,0.84,0.85,0.04999999999999993,2.6901708193160165,1.7737956866659688
0.0,0.1,1.0,1.5,3,0.745,0.775,0.795,0.050000000000000044,3.1060005847091214,2.111811745432963
0.0,0.1,1.0,1.0,9,0.74,0.82,0.82,0.07999999999999996,3.2785674720341342,2.2530702368760633
0.0,0.1,1.0,1.5,2,0.65,0.775,0.78,0.13,3.2053006010275826,2.598643055262852
0.0,0.1,1.0,1.0,8,0.625,0.73,0.745,0.12,3.3920870573988746,2.378590947047873
0.0,0.1,1.0,1.5,7,0.795,0.805,0.795,0.0,2.681576105508484,1.6215746297566853
0.0,0.1,1.0,1.0,1,0.77,0.785,0.82,0.04999999999999993,3.3812506899883386,2.1715953967546615
0.0,0.1,1.0,1.0,3,0.685,0.73,0.77,0.08499999999999996,3.476725431196357,2.19172022465837
0.0,0.1,1.0,1.0,4,0.705,0.685,0.785,0.08000000000000007,3.8664030820901143,2.9569625353223135
0.0,0.1,1.0,1.0,0,0.72,0.48,0.77,0.050000000000000044,3.5574767166652026,3.3049228361782026
0.0,0.1,1.0,3.0,4,0.785,0.855,0.885,0.09999999999999998,2.3339075072334756,1.6209196806589967
0.0,0.1,1.0,2.0,8,0.69,0.76,0.745,0.05500000000000005,2.8994854628852407,1.9643846183641838
0.0,0.1,1.0,3.0,0,0.775,0.825,0.82,0.04499999999999993,2.1574207196984325,1.725308665932905
0.0,0.1,1.0,2.0,9,0.78,0.825,0.835,0.05499999999999994,2.5075957064137686,1.6448395760216912
0.0,0.1,1.0,3.0,1,0.8,0.855,0.845,0.04499999999999993,2.1688870779855054,1.6132283893341208
