seed,w1,w2,tau,gain,acc_t1,acc_t3,final_loss
0,0.5,0.2,1.0,0.11499999999999999,0.81,0.925,0.3417646905835421
1,0.5,0.2,1.0,0.03500000000000003,0.875,0.91,0.21800056806170154
2,0.5,0.2,1.0,0.125,0.82,0.945,0.26186289032490123
3,0.5,0.2,1.0,0.135,0.74,0.875,0.33989401389276
4,0.5,0.2,1.0,0.10499999999999998,0.835,0.94,0.2581925387517909
5,0.5,0.2,1.0,0.18499999999999994,0.755,0.94,0.28483815766769155
6,0.5,0.2,1.0,0.18999999999999995,0.645,0.835,0.5794171393100208
7,0.5,0.2,1.0,0.05500000000000005,0.835,0.89,0.40672256461534795
8,0.5,0.2,1.0,0.16000000000000003,0.77,0.93,0.34946279442585215
9,0.5,0.2,1.0,0.11499999999999999,0.85,0.965,0.21515617080637958
0,0.5,0.2,1.5,0.10000000000000009,0.83,0.93,0.32335785472321527
1,0.5,0.2,1.5,0.04500000000000004,0.865,0.91,0.2131442388887431
2,0.5,0.2,1.5,0.1449999999999999,0.805,0.95,0.259369617956579
3,0.5,0.2,1.5,0.17500000000000004,0.73,0.905,0.33965799320292495
4,0.5,0.2,1.5,0.09999999999999998,0.84,0.94,0.23607907191415994
5,0.5,0.2,1.5,0.17999999999999994,0.77,0.95,0.28632244250574745
6,0.5,0.2,1.5,0.17500000000000004,0.69,0.865,0.5444247060893467
7,0.5,0.2,1.5,0.05500000000000005,0.845,0.9,0.3725074414028194
8,0.5,0.2,1.5,0.17000000000000004,0.755,0.925,0.3438162409652502
9,0.5,0.2,1.5,0.09999999999999998,0.855,0.955,0.2242852403427925
0,0.5,0.2,2.0,0.09999999999999998,0.84,0.94,0.3058193723864929
1,0.5,0.2,2.0,0.05500000000000005,0.87,0.925,0.20871244885098833
2,0.5,0.2,2.0,0.1449999999999999,0.81,0.955,0.25989869726661524
3,0.5,0.2,2.0,0.135,0.745,0.88,0.3609688502881918
4,0.5,0.2,2.0,0.09499999999999997,0.845,0.94,0.24107428628192878
5,0.5,0.2,2.0,0.17499999999999993,0.775,0.95,0.29695106783470715
6,0.5,0.2,2.0,0.16500000000000004,0.7,0.865,0.5331186460783099
7,0.5,0.2,2.0,0.04500000000000004,0.845,0.89,0.3602652215255506
8,0.5,0.2,2.0,0.16000000000000003,0.76,0.92,0.33623941728251977
9,0.5,0.2,2.0,0.09999999999999998,0.855,0.955,0.2379855150005127
0,0.5,0.2,3.0,0.10499999999999998,0.835,0.94,0.2922356373983977
1,0.5,0.2,3.0,0.050000000000000044,0.87,0.92,0.2072564537456573
2,0.5,0.2,3.0,0.1399999999999999,0.81,0.95,0.2691297902413508
3,0.5,0.2,3.0,0.10499999999999998,0.755,0.86,0.3790605066681587
4,0.5,0.2,3.0,0.07500000000000007,0.85,0.925,0.2498509005715727
5,0.5,0.2,3.0,0.14,0.775,0.915,0.367237833718963
6,0.5,0.2,3.0,0.16000000000000003,0.725,0.885,0.523760106618282
7,0.5,0.2,3.0,0.050000000000000044,0.84,0.89,0.3691677183026061
8,0.5,0.2,3.0,0.135,0.775,0.91,0.3533742950369854
9,0.5,0.2,3.0,0.09499999999999997,0.865,0.96,0.2617333232864775
0,0.5,1.0,1.0,0.1050000000000001,0.82,0.925,0.3075250521592722
1,0.5,1.0,1.0,0.06500000000000006,0.845,0.91,0.19029577719703356
2,0.5,1.0,1.0,0.12,0.82,0.94,0.2418710889195009
3,0.5,1.0,1.0,0.15000000000000002,0.715,0.865,0.3680032669810175
4,0.5,1.0,1.0,0.1399999999999999,0.81,0.95,0.2379934720663377
5,0.5,1.0,1.0,0.18499999999999994,0.775,0.96,0.26997724440726856
6,0.5,1.0,1.0,0.19999999999999996,0.63,0.83,0.5895297181154961
7,0.5,1.0,1.0,0.05500000000000005,0.845,0.9,0.4060688040280119
8,0.5,1.0,1.0,0.16000000000000003,0.76,0.92,0.32101734053223313
9,0.5,1.0,1.0,0.135,0.835,0.97,0.1835176690190185
0,0.5,1.0,1.5,0.1100000000000001,0.825,0.935,0.2900860769279744
1,0.5,1.0,1.5,0.06000000000000005,0.845,0.905,0.18636142559311583
2,0.5,1.0,1.5,0.13,0.825,0.955,0.24157367394592874
3,0.5,1.0,1.5,0.14500000000000002,0.725,0.87,0.3658268225377879
4,0.5,1.0,1.5,0.1100000000000001,0.825,0.935,0.22091792092854867
5,0.5,1.0,1.5,0.18499999999999994,0.77,0.955,0.26141629346623785
6,0.5,1.0,1.5,0.16999999999999993,0.665,0.835,0.5503896052356656
7,0.5,1.0,1.5,0.07000000000000006,0.85,0.92,0.37482754737279395
8,0.5,1.0,1.5,0.17000000000000004,0.765,0.935,0.32511872555690624
9,0.5,1.0,1.5,0.125,0.84,0.965,0.18986572128499937
