w1,w2,tau,seed,acc_t1,acc_t3,gain
0.0,0.2,1.0,0,0.745000,0.920000,0.175000
0.0,0.2,1.0,1,0.765000,0.885000,0.120000
0.0,0.2,1.0,2,0.725000,0.950000,0.225000
0.0,0.2,1.0,3,0.730000,0.885000,0.155000
0.0,0.2,1.0,4,0.705000,0.875000,0.170000
0.0,0.2,1.0,5,0.670000,0.960000,0.290000
0.0,0.2,1.0,6,0.580000,0.865000,0.285000
0.0,0.2,1.0,7,0.800000,0.895000,0.095000
0.0,0.2,1.0,8,0.675000,0.925000,0.250000
0.0,0.2,1.0,9,0.755000,0.945000,0.190000
0.0,0.2,1.5,0,0.760000,0.935000,0.175000
0.0,0.2,1.5,1,0.775000,0.900000,0.125000
0.0,0.2,1.5,2,0.730000,0.955000,0.225000
0.0,0.2,1.5,3,0.685000,0.880000,0.195000
0.0,0.2,1.5,4,0.765000,0.965000,0.200000
0.0,0.2,1.5,5,0.670000,0.970000,0.300000
0.0,0.2,1.5,6,0.575000,0.875000,0.300000
0.0,0.2,1.5,7,0.810000,0.910000,0.100000
0.0,0.2,1.5,8,0.680000,0.925000,0.245000
0.0,0.2,1.5,9,0.765000,0.975000,0.210000
0.0,0.2,2.0,0,0.795000,0.950000,0.155000
0.0,0.2,2.0,1,0.765000,0.920000,0.155000
0.0,0.2,2.0,2,0.725000,0.955000,0.230000
0.0,0.2,2.0,3,0.710000,0.880000,0.170000
0.0,0.2,2.0,4,0.770000,0.945000,0.175000
0.0,0.2,2.0,5,0.680000,0.970000,0.290000
0.0,0.2,2.0,6,0.575000,0.870000,0.295000
0.0,0.2,2.0,7,0.825000,0.920000,0.095000
0.0,0.2,2.0,8,0.705000,0.930000,0.225000
0.0,0.2,2.0,9,0.775000,0.975000,0.200000
0.0,0.2,3.0,0,0.805000,0.955000,0.150000
0.0,0.2,3.0,1,0.805000,0.920000,0.115000
0.0,0.2,3.0,2,0.725000,0.955000,0.230000
0.0,0.2,3.0,3,0.725000,0.870000,0.145000
0.0,0.2,3.0,4,0.805000,0.935000,0.130000
0.0,0.2,3.0,5,0.710000,0.955000,0.245000
0.0,0.2,3.0,6,0.630000,0.865000,0.235000
0.0,0.2,3.0,7,0.820000,0.915000,0.095000
0.0,0.2,3.0,8,0.745000,0.925000,0.180000
0.0,0.2,3.0,9,0.810000,0.975000,0.165000
0.1,0.2,1.0,0,0.795000,0.925000,0.130000
0.1,0.2,1.0,1,0.795000,0.885000,0.090000
0.1,0.2,1.0,2,0.785000,0.950000,0.165000
0.1,0.2,1.0,3,0.755000,0.875000,0.120000
0.1,0.2,1.0,4,0.775000,0.930000,0.155000
0.1,0.2,1.0,5,0.705000,0.955000,0.250000
0.1,0.2,1.0,6,0.580000,0.865000,0.285000
0.1,0.2,1.0,7,0.810000,0.885000,0.075000
0.1,0.2,1.0,8,0.725000,0.925000,0.200000
0.1,0.2,1.0,9,0.780000,0.975000,0.195000
0.1,0.2,1.5,0,0.785000,0.935000,0.150000
0.1,0.2,1.5,1,0.810000,0.920000,0.110000
0.1,0.2,1.5,2,0.775000,0.960000,0.185000
0.1,0.2,1.5,3,0.730000,0.870000,0.140000
0.1,0.2,1.5,4,0.800000,0.960000,0.160000
0.1,0.2,1.5,5,0.700000,0.965000,0.265000
0.1,0.2,1.5,6,0.585000,0.865000,0.280000
0.1,0.2,1.5,7,0.835000,0.915000,0.080000
0.1,0.2,1.5,8,0.715000,0.935000,0.220000
0.1,0.2,1.5,9,0.800000,0.975000,0.175000
0.1,0.2,2.0,0,0.800000,0.945000,0.145000
0.1,0.2,2.0,1,0.820000,0.920000,0.100000
0.1,0.2,2.0,2,0.785000,0.955000,0.170000
0.1,0.2,2.0,3,0.735000,0.895000,0.160000
0.1,0.2,2.0,4,0.805000,0.950000,0.145000
0.1,0.2,2.0,5,0.725000,0.970000,0.245000
0.1,0.2,2.0,6,0.585000,0.875000,0.290000
0.1,0.2,2.0,7,0.835000,0.910000,0.075000
0.1,0.2,2.0,8,0.755000,0.920000,0.165000
0.1,0.2,2.0,9,0.800000,0.970000,0.170000
0.1,0.2,3.0,0,0.830000,0.950000,0.120000
0.1,0.2,3.0,1,0.845000,0.920000,0.075000
0.1,0.2,3.0,2,0.770000,0.955000,0.185000
0.1,0.2,3.0,3,0.740000,0.870000,0.130000
0.1,0.2,3.0,4,0.815000,0.945000,0.130000
0.1,0.2,3.0,5,0.750000,0.945000,0.195000
0.1,0.2,3.0,6,0.660000,0.875000,0.215000
0.1,0.2,3.0,7,0.820000,0.920000,0.100000
0.1,0.2,3.0,8,0.765000,0.915000,0.150000
0.1,0.2,3.0,9,0.835000,0.970000,0.135000
0.2,0.2,1.0,0,0.790000,0.925000,0.135000
0.2,0.2,1.0,1,0.825000,0.910000,0.085000
0.2,0.2,1.0,2,0.790000,0.950000,0.160000
0.2,0.2,1.0,3,0.735000,0.880000,0.145000
0.2,0.2,1.0,4,0.815000,0.940000,0.125000
0.2,0.2,1.0,5,0.730000,0.965000,0.235000
0.2,0.2,1.0,6,0.600000,0.865000,0.265000
0.2,0.2,1.0,7,0.825000,0.890000,0.065000
0.2,0.2,1.0,8,0.750000,0.930000,0.180000
0.2,0.2,1.0,9,0.815000,0.980000,0.165000
0.2,0.2,1.5,0,0.805000,0.930000,0.125000
0.2,0.2,1.5,1,0.840000,0.915000,0.075000
0.2,0.2,1.5,2,0.785000,0.960000,0.175000
0.2,0.2,1.5,3,0.740000,0.880000,0.140000
0.2,0.2,1.5,4,0.820000,0.945000,0.125000
0.2,0.2,1.5,5,0.730000,0.970000,0.240000
0.2,0.2,1.5,6,0.595000,0.860000,0.265000
0.2,0.2,1.5,7,0.845000,0.915000,0.070000
0.2,0.2,1.5,8,0.765000,0.945000,0.180000
0.2,0.2,1.5,9,0.810000,0.970000,0.160000
0.2,0.2,2.0,0,0.805000,0.945000,0.140000
0.2,0.2,2.0,1,0.845000,0.920000,0.075000
0.2,0.2,2.0,2,0.785000,0.965000,0.180000
0.2,0.2,2.0,3,0.735000,0.895000,0.160000
0.2,0.2,2.0,4,0.810000,0.940000,0.130000
0.2,0.2,2.0,5,0.735000,0.965000,0.230000
0.2,0.2,2.0,6,0.635000,0.870000,0.235000
0.2,0.2,2.0,7,0.835000,0.905000,0.070000
0.2,0.2,2.0,8,0.765000,0.925000,0.160000
0.2,0.2,2.0,9,0.820000,0.970000,0.150000
0.2,0.2,3.0,0,0.830000,0.945000,0.115000
0.2,0.2,3.0,1,0.855000,0.915000,0.060000
0.2,0.2,3.0,2,0.785000,0.950000,0.165000
0.2,0.2,3.0,3,0.745000,0.870000,0.125000
0.2,0.2,3.0,4,0.830000,0.935000,0.105000
0.2,0.2,3.0,5,0.750000,0.945000,0.195000
0.2,0.2,3.0,6,0.700000,0.880000,0.180000
0.2,0.2,3.0,7,0.825000,0.915000,0.090000
0.2,0.2,3.0,8,0.760000,0.920000,0.160000
0.2,0.2,3.0,9,0.850000,0.965000,0.115000
0.3,0.2,1.0,0,0.800000,0.925000,0.125000
0.3,0.2,1.0,1,0.850000,0.910000,0.060000
0.3,0.2,1.0,2,0.805000,0.950000,0.145000
0.3,0.2,1.0,3,0.745000,0.860000,0.115000
0.3,0.2,1.0,4,0.820000,0.940000,0.120000
0.3,0.2,1.0,5,0.750000,0.960000,0.210000
0.3,0.2,1.0,6,0.620000,0.865000,0.245000
0.3,0.2,1.0,7,0.825000,0.900000,0.075000
0.3,0.2,1.0,8,0.770000,0.945000,0.175000
0.3,0.2,1.0,9,0.840000,0.975000,0.135000
0.3,0.2,1.5,0,0.810000,0.930000,0.120000
0.3,0.2,1.5,1,0.850000,0.915000,0.065000
0.3,0.2,1.5,2,0.795000,0.955000,0.160000
0.3,0.2,1.5,3,0.735000,0.895000,0.160000
0.3,0.2,1.5,4,0.825000,0.935000,0.110000
0.3,0.2,1.5,5,0.760000,0.965000,0.205000
0.3,0.2,1.5,6,0.635000,0.855000,0.220000
0.3,0.2,1.5,7,0.850000,0.910000,0.060000
0.3,0.2,1.5,8,0.765000,0.945000,0.180000
0.3,0.2,1.5,9,0.845000,0.970000,0.125000
0.3,0.2,2.0,0,0.820000,0.945000,0.125000
0.3,0.2,2.0,1,0.855000,0.925000,0.070000
0.3,0.2,2.0,2,0.785000,0.965000,0.180000
0.3,0.2,2.0,3,0.730000,0.890000,0.160000
0.3,0.2,2.0,4,0.840000,0.945000,0.105000
0.3,0.2,2.0,5,0.755000,0.960000,0.205000
0.3,0.2,2.0,6,0.680000,0.865000,0.185000
0.3,0.2,2.0,7,0.845000,0.900000,0.055000
0.3,0.2,2.0,8,0.760000,0.925000,0.165000
0.3,0.2,2.0,9,0.830000,0.965000,0.135000
0.3,0.2,3.0,0,0.825000,0.945000,0.120000
0.3,0.2,3.0,1,0.855000,0.915000,0.060000
0.3,0.2,3.0,2,0.790000,0.945000,0.155000
0.3,0.2,3.0,3,0.755000,0.870000,0.115000
0.3,0.2,3.0,4,0.840000,0.920000,0.080000
0.3,0.2,3.0,5,0.750000,0.940000,0.190000
0.3,0.2,3.0,6,0.705000,0.880000,0.175000
0.3,0.2,3.0,7,0.835000,0.905000,0.070000
0.3,0.2,3.0,8,0.760000,0.915000,0.155000
0.3,0.2,3.0,9,0.850000,0.960000,0.110000
