seed,condition,T_max,t,accuracy
0,baseline,3,1,0.780000
0,baseline,3,2,0.785000
0,baseline,3,3,0.805000
0,group_a,3,1,0.780000
0,group_a,3,2,0.780000
0,group_a,3,3,0.780000
0,group_c1,3,1,0.780000
0,group_c1,3,2,0.628000
0,group_c1,3,3,0.638333
0,group_c2,3,1,0.780000
0,group_c2,3,2,0.760000
0,group_c2,3,3,0.745000
0,baseline,5,1,0.780000
0,baseline,5,2,0.785000
0,baseline,5,3,0.805000
0,baseline,5,4,0.790000
0,baseline,5,5,0.790000
0,group_a,5,1,0.780000
0,group_a,5,2,0.780000
0,group_a,5,3,0.780000
0,group_a,5,4,0.780000
0,group_a,5,5,0.780000
0,group_c1,5,1,0.780000
0,group_c1,5,2,0.638167
0,group_c1,5,3,0.630833
0,group_c1,5,4,0.616833
0,group_c1,5,5,0.626500
0,group_c2,5,1,0.780000
0,group_c2,5,2,0.760000
0,group_c2,5,3,0.745000
0,group_c2,5,4,0.775000
0,group_c2,5,5,0.715000
0,baseline,7,1,0.780000
0,baseline,7,2,0.785000
0,baseline,7,3,0.805000
0,baseline,7,4,0.790000
0,baseline,7,5,0.790000
0,baseline,7,6,0.775000
0,baseline,7,7,0.775000
0,group_a,7,1,0.780000
0,group_a,7,2,0.780000
0,group_a,7,3,0.780000
0,group_a,7,4,0.780000
0,group_a,7,5,0.780000
0,group_a,7,6,0.780000
0,group_a,7,7,0.780000
0,group_c1,7,1,0.780000
0,group_c1,7,2,0.637833
0,group_c1,7,3,0.629500
0,group_c1,7,4,0.630667
0,group_c1,7,5,0.635333
0,group_c1,7,6,0.622667
0,group_c1,7,7,0.629167
0,group_c2,7,1,0.780000
0,group_c2,7,2,0.760000
0,group_c2,7,3,0.745000
0,group_c2,7,4,0.775000
0,group_c2,7,5,0.715000
0,group_c2,7,6,0.760000
0,group_c2,7,7,0.710000
0,baseline,10,1,0.780000
0,baseline,10,2,0.785000
0,baseline,10,3,0.805000
0,baseline,10,4,0.790000
0,baseline,10,5,0.790000
0,baseline,10,6,0.775000
0,baseline,10,7,0.775000
0,baseline,10,8,0.770000
0,baseline,10,9,0.775000
0,baseline,10,10,0.775000
0,group_a,10,1,0.780000
0,group_a,10,2,0.780000
0,group_a,10,3,0.780000
0,group_a,10,4,0.780000
0,group_a,10,5,0.780000
0,group_a,10,6,0.780000
0,group_a,10,7,0.780000
0,group_a,10,8,0.780000
0,group_a,10,9,0.780000
0,group_a,10,10,0.780000
0,group_c1,10,1,0.780000
0,group_c1,10,2,0.630167
0,group_c1,10,3,0.628333
0,group_c1,10,4,0.622333
0,group_c1,10,5,0.631167
0,group_c1,10,6,0.631000
0,group_c1,10,7,0.620833
0,group_c1,10,8,0.632667
0,group_c1,10,9,0.625667
0,group_c1,10,10,0.635167
0,group_c2,10,1,0.780000
0,group_c2,10,2,0.760000
0,group_c2,10,3,0.745000
0,group_c2,10,4,0.775000
0,group_c2,10,5,0.715000
0,group_c2,10,6,0.760000
0,group_c2,10,7,0.710000
0,group_c2,10,8,0.750000
0,group_c2,10,9,0.715000
0,group_c2,10,10,0.750000
0,baseline,15,1,0.780000
0,baseline,15,2,0.785000
0,baseline,15,3,0.805000
0,baseline,15,4,0.790000
0,baseline,15,5,0.790000
0,baseline,15,6,0.775000
0,baseline,15,7,0.775000
0,baseline,15,8,0.770000
0,baseline,15,9,0.775000
0,baseline,15,10,0.775000
0,baseline,15,11,0.780000
0,baseline,15,12,0.775000
0,baseline,15,13,0.780000
0,baseline,15,14,0.775000
0,baseline,15,15,0.780000
0,group_a,15,1,0.780000
0,group_a,15,2,0.780000
0,group_a,15,3,0.780000
0,group_a,15,4,0.780000
0,group_a,15,5,0.780000
0,group_a,15,6,0.780000
0,group_a,15,7,0.780000
0,group_a,15,8,0.780000
0,group_a,15,9,0.780000
0,group_a,15,10,0.780000
0,group_a,15,11,0.780000
0,group_a,15,12,0.780000
0,group_a,15,13,0.780000
0,group_a,15,14,0.780000
0,group_a,15,15,0.780000
0,group_c1,15,1,0.780000
0,group_c1,15,2,0.631167
0,group_c1,15,3,0.628500
0,group_c1,15,4,0.627000
0,group_c1,15,5,0.614500
0,group_c1,15,6,0.616167
0,group_c1,15,7,0.629833
0,group_c1,15,8,0.630000
0,group_c1,15,9,0.623500
0,group_c1,15,10,0.628833
0,group_c1,15,11,0.618667
0,group_c1,15,12,0.631167
0,group_c1,15,13,0.636500
0,group_c1,15,14,0.623000
0,group_c1,15,15,0.630167
0,group_c2,15,1,0.780000
0,group_c2,15,2,0.760000
0,group_c2,15,3,0.745000
0,group_c2,15,4,0.775000
0,group_c2,15,5,0.715000
0,group_c2,15,6,0.760000
0,group_c2,15,7,0.710000
0,group_c2,15,8,0.750000
0,group_c2,15,9,0.715000
0,group_c2,15,10,0.750000
0,group_c2,15,11,0.720000
0,group_c2,15,12,0.760000
0,group_c2,15,13,0.720000
0,group_c2,15,14,0.765000
0,group_c2,15,15,0.715000
0,baseline,20,1,0.780000
0,baseline,20,2,0.785000
0,baseline,20,3,0.805000
0,baseline,20,4,0.790000
0,baseline,20,5,0.790000
0,baseline,20,6,0.775000
0,baseline,20,7,0.775000
0,baseline,20,8,0.770000
0,baseline,20,9,0.775000
0,baseline,20,10,0.775000
0,baseline,20,11,0.780000
0,baseline,20,12,0.775000
0,baseline,20,13,0.780000
0,baseline,20,14,0.775000
0,baseline,20,15,0.780000
0,baseline,20,16,0.780000
0,baseline,20,17,0.775000
0,baseline,20,18,0.775000
0,baseline,20,19,0.775000
0,baseline,20,20,0.775000
0,group_a,20,1,0.780000
0,group_a,20,2,0.780000
0,group_a,20,3,0.780000
0,group_a,20,4,0.780000
0,group_a,20,5,0.780000
0,group_a,20,6,0.780000
0,group_a,20,7,0.780000
0,group_a,20,8,0.780000
0,group_a,20,9,0.780000
0,group_a,20,10,0.780000
0,group_a,20,11,0.780000
0,group_a,20,12,0.780000
0,group_a,20,13,0.780000
0,group_a,20,14,0.780000
0,group_a,20,15,0.780000
0,group_a,20,16,0.780000
0,group_a,20,17,0.780000
0,group_a,20,18,0.780000
0,group_a,20,19,0.780000
0,group_a,20,20,0.780000
0,group_c1,20,1,0.780000
0,group_c1,20,2,0.641167
0,group_c1,20,3,0.624167
0,group_c1,20,4,0.626667
0,group_c1,20,5,0.619333
0,group_c1,20,6,0.629167
0,group_c1,20,7,0.630000
0,group_c1,20,8,0.631333
0,group_c1,20,9,0.631000
0,group_c1,20,10,0.626333
0,group_c1,20,11,0.627167
0,group_c1,20,12,0.624667
0,group_c1,20,13,0.625500
0,group_c1,20,14,0.631833
0,group_c1,20,15,0.630167
0,group_c1,20,16,0.627500
0,group_c1,20,17,0.625333
0,group_c1,20,18,0.630167
0,group_c1,20,19,0.636000
0,group_c1,20,20,0.624833
0,group_c2,20,1,0.780000
0,group_c2,20,2,0.760000
0,group_c2,20,3,0.745000
0,group_c2,20,4,0.775000
0,group_c2,20,5,0.715000
0,group_c2,20,6,0.760000
0,group_c2,20,7,0.710000
0,group_c2,20,8,0.750000
0,group_c2,20,9,0.715000
0,group_c2,20,10,0.750000
0,group_c2,20,11,0.720000
0,group_c2,20,12,0.760000
0,group_c2,20,13,0.720000
0,group_c2,20,14,0.765000
0,group_c2,20,15,0.715000
0,group_c2,20,16,0.760000
0,group_c2,20,17,0.715000
0,group_c2,20,18,0.765000
0,group_c2,20,19,0.715000
0,group_c2,20,20,0.765000
1,baseline,3,1,0.755000
1,baseline,3,2,0.830000
1,baseline,3,3,0.860000
1,group_a,3,1,0.755000
1,group_a,3,2,0.755000
1,group_a,3,3,0.755000
1,group_c1,3,1,0.755000
1,group_c1,3,2,0.623667
1,group_c1,3,3,0.611000
1,group_c2,3,1,0.755000
1,group_c2,3,2,0.645000
1,group_c2,3,3,0.800000
1,baseline,5,1,0.755000
1,baseline,5,2,0.830000
1,baseline,5,3,0.860000
1,baseline,5,4,0.865000
1,baseline,5,5,0.875000
1,group_a,5,1,0.755000
1,group_a,5,2,0.755000
1,group_a,5,3,0.755000
1,group_a,5,4,0.755000
1,group_a,5,5,0.755000
1,group_c1,5,1,0.755000
1,group_c1,5,2,0.613667
1,group_c1,5,3,0.632667
1,group_c1,5,4,0.614167
1,group_c1,5,5,0.622167
1,group_c2,5,1,0.755000
1,group_c2,5,2,0.645000
1,group_c2,5,3,0.800000
1,group_c2,5,4,0.725000
1,group_c2,5,5,0.755000
1,baseline,7,1,0.755000
1,baseline,7,2,0.830000
1,baseline,7,3,0.860000
1,baseline,7,4,0.865000
1,baseline,7,5,0.875000
1,baseline,7,6,0.875000
1,baseline,7,7,0.875000
1,group_a,7,1,0.755000
1,group_a,7,2,0.755000
1,group_a,7,3,0.755000
1,group_a,7,4,0.755000
1,group_a,7,5,0.755000
1,group_a,7,6,0.755000
1,group_a,7,7,0.755000
1,group_c1,7,1,0.755000
1,group_c1,7,2,0.621833
1,group_c1,7,3,0.631333
1,group_c1,7,4,0.611833
1,group_c1,7,5,0.611167
1,group_c1,7,6,0.614000
1,group_c1,7,7,0.626167
1,group_c2,7,1,0.755000
1,group_c2,7,2,0.645000
1,group_c2,7,3,0.800000
1,group_c2,7,4,0.725000
1,group_c2,7,5,0.755000
1,group_c2,7,6,0.710000
1,group_c2,7,7,0.770000
1,baseline,10,1,0.755000
1,baseline,10,2,0.830000
1,baseline,10,3,0.860000
1,baseline,10,4,0.865000
1,baseline,10,5,0.875000
1,baseline,10,6,0.875000
1,baseline,10,7,0.875000
1,baseline,10,8,0.880000
1,baseline,10,9,0.880000
1,baseline,10,10,0.880000
1,group_a,10,1,0.755000
1,group_a,10,2,0.755000
1,group_a,10,3,0.755000
1,group_a,10,4,0.755000
1,group_a,10,5,0.755000
1,group_a,10,6,0.755000
1,group_a,10,7,0.755000
1,group_a,10,8,0.755000
1,group_a,10,9,0.755000
1,group_a,10,10,0.755000
1,group_c1,10,1,0.755000
1,group_c1,10,2,0.628667
1,group_c1,10,3,0.624833
1,group_c1,10,4,0.619333
1,group_c1,10,5,0.617333
1,group_c1,10,6,0.621667
1,group_c1,10,7,0.623833
1,group_c1,10,8,0.612500
1,group_c1,10,9,0.618333
1,group_c1,10,10,0.625333
1,group_c2,10,1,0.755000
1,group_c2,10,2,0.645000
1,group_c2,10,3,0.800000
1,group_c2,10,4,0.725000
1,group_c2,10,5,0.755000
1,group_c2,10,6,0.710000
1,group_c2,10,7,0.770000
1,group_c2,10,8,0.715000
1,group_c2,10,9,0.765000
1,group_c2,10,10,0.720000
1,baseline,15,1,0.755000
1,baseline,15,2,0.830000
1,baseline,15,3,0.860000
1,baseline,15,4,0.865000
1,baseline,15,5,0.875000
1,baseline,15,6,0.875000
1,baseline,15,7,0.875000
1,baseline,15,8,0.880000
1,baseline,15,9,0.880000
1,baseline,15,10,0.880000
1,baseline,15,11,0.880000
1,baseline,15,12,0.875000
1,baseline,15,13,0.875000
1,baseline,15,14,0.875000
1,baseline,15,15,0.875000
1,group_a,15,1,0.755000
1,group_a,15,2,0.755000
1,group_a,15,3,0.755000
1,group_a,15,4,0.755000
1,group_a,15,5,0.755000
1,group_a,15,6,0.755000
1,group_a,15,7,0.755000
1,group_a,15,8,0.755000
1,group_a,15,9,0.755000
1,group_a,15,10,0.755000
1,group_a,15,11,0.755000
1,group_a,15,12,0.755000
1,group_a,15,13,0.755000
1,group_a,15,14,0.755000
1,group_a,15,15,0.755000
1,group_c1,15,1,0.755000
1,group_c1,15,2,0.623833
1,group_c1,15,3,0.621833
1,group_c1,15,4,0.619333
1,group_c1,15,5,0.622500
1,group_c1,15,6,0.617833
1,group_c1,15,7,0.614000
1,group_c1,15,8,0.617167
1,group_c1,15,9,0.618167
1,group_c1,15,10,0.625500
1,group_c1,15,11,0.613000
1,group_c1,15,12,0.623000
1,group_c1,15,13,0.611167
1,group_c1,15,14,0.625667
1,group_c1,15,15,0.618333
1,group_c2,15,1,0.755000
1,group_c2,15,2,0.645000
1,group_c2,15,3,0.800000
1,group_c2,15,4,0.725000
1,group_c2,15,5,0.755000
1,group_c2,15,6,0.710000
1,group_c2,15,7,0.770000
1,group_c2,15,8,0.715000
1,group_c2,15,9,0.765000
1,group_c2,15,10,0.720000
1,group_c2,15,11,0.765000
1,group_c2,15,12,0.720000
1,group_c2,15,13,0.765000
1,group_c2,15,14,0.720000
1,group_c2,15,15,0.765000
1,baseline,20,1,0.755000
1,baseline,20,2,0.830000
1,baseline,20,3,0.860000
1,baseline,20,4,0.865000
1,baseline,20,5,0.875000
1,baseline,20,6,0.875000
1,baseline,20,7,0.875000
1,baseline,20,8,0.880000
1,baseline,20,9,0.880000
1,baseline,20,10,0.880000
1,baseline,20,11,0.880000
1,baseline,20,12,0.875000
1,baseline,20,13,0.875000
1,baseline,20,14,0.875000
1,baseline,20,15,0.875000
1,baseline,20,16,0.875000
1,baseline,20,17,0.875000
1,baseline,20,18,0.875000
1,baseline,20,19,0.875000
1,baseline,20,20,0.875000
1,group_a,20,1,0.755000
1,group_a,20,2,0.755000
1,group_a,20,3,0.755000
1,group_a,20,4,0.755000
1,group_a,20,5,0.755000
1,group_a,20,6,0.755000
1,group_a,20,7,0.755000
1,group_a,20,8,0.755000
1,group_a,20,9,0.755000
1,group_a,20,10,0.755000
1,group_a,20,11,0.755000
1,group_a,20,12,0.755000
1,group_a,20,13,0.755000
1,group_a,20,14,0.755000
1,group_a,20,15,0.755000
1,group_a,20,16,0.755000
1,group_a,20,17,0.755000
1,group_a,20,18,0.755000
1,group_a,20,19,0.755000
1,group_a,20,20,0.755000
1,group_c1,20,1,0.755000
1,group_c1,20,2,0.623167
1,group_c1,20,3,0.631833
1,group_c1,20,4,0.611000
1,group_c1,20,5,0.627333
1,group_c1,20,6,0.616000
1,group_c1,20,7,0.629167
1,group_c1,20,8,0.622667
1,group_c1,20,9,0.619000
1,group_c1,20,10,0.625667
1,group_c1,20,11,0.624500
1,group_c1,20,12,0.614167
1,group_c1,20,13,0.617833
1,group_c1,20,14,0.620667
1,group_c1,20,15,0.615333
1,group_c1,20,16,0.617833
1,group_c1,20,17,0.628000
1,group_c1,20,18,0.610333
1,group_c1,20,19,0.619500
1,group_c1,20,20,0.631500
1,group_c2,20,1,0.755000
1,group_c2,20,2,0.645000
1,group_c2,20,3,0.800000
1,group_c2,20,4,0.725000
1,group_c2,20,5,0.755000
1,group_c2,20,6,0.710000
1,group_c2,20,7,0.770000
1,group_c2,20,8,0.715000
1,group_c2,20,9,0.765000
1,group_c2,20,10,0.720000
1,group_c2,20,11,0.765000
1,group_c2,20,12,0.720000
1,group_c2,20,13,0.765000
1,group_c2,20,14,0.720000
1,group_c2,20,15,0.765000
1,group_c2,20,16,0.725000
1,group_c2,20,17,0.765000
1,group_c2,20,18,0.725000
1,group_c2,20,19,0.765000
1,group_c2,20,20,0.725000
2,baseline,3,1,0.710000
2,baseline,3,2,0.820000
2,baseline,3,3,0.825000
2,group_a,3,1,0.710000
2,group_a,3,2,0.710000
2,group_a,3,3,0.710000
2,group_c1,3,1,0.710000
2,group_c1,3,2,0.695833
2,group_c1,3,3,0.674667
2,group_c2,3,1,0.710000
2,group_c2,3,2,0.735000
2,group_c2,3,3,0.730000
2,baseline,5,1,0.710000
2,baseline,5,2,0.820000
2,baseline,5,3,0.825000
2,baseline,5,4,0.830000
2,baseline,5,5,0.840000
2,group_a,5,1,0.710000
2,group_a,5,2,0.710000
2,group_a,5,3,0.710000
2,group_a,5,4,0.710000
2,group_a,5,5,0.710000
2,group_c1,5,1,0.710000
2,group_c1,5,2,0.696333
2,group_c1,5,3,0.686000
2,group_c1,5,4,0.682667
2,group_c1,5,5,0.672167
2,group_c2,5,1,0.710000
2,group_c2,5,2,0.735000
2,group_c2,5,3,0.730000
2,group_c2,5,4,0.735000
2,group_c2,5,5,0.745000
2,baseline,7,1,0.710000
2,baseline,7,2,0.820000
2,baseline,7,3,0.825000
2,baseline,7,4,0.830000
2,baseline,7,5,0.840000
2,baseline,7,6,0.840000
2,baseline,7,7,0.835000
2,group_a,7,1,0.710000
2,group_a,7,2,0.710000
2,group_a,7,3,0.710000
2,group_a,7,4,0.710000
2,group_a,7,5,0.710000
2,group_a,7,6,0.710000
2,group_a,7,7,0.710000
2,group_c1,7,1,0.710000
2,group_c1,7,2,0.706000
2,group_c1,7,3,0.683333
2,group_c1,7,4,0.674667
2,group_c1,7,5,0.688833
2,group_c1,7,6,0.680333
2,group_c1,7,7,0.690333
2,group_c2,7,1,0.710000
2,group_c2,7,2,0.735000
2,group_c2,7,3,0.730000
2,group_c2,7,4,0.735000
2,group_c2,7,5,0.745000
2,group_c2,7,6,0.745000
2,group_c2,7,7,0.740000
2,baseline,10,1,0.710000
2,baseline,10,2,0.820000
2,baseline,10,3,0.825000
2,baseline,10,4,0.830000
2,baseline,10,5,0.840000
2,baseline,10,6,0.840000
2,baseline,10,7,0.835000
2,baseline,10,8,0.840000
2,baseline,10,9,0.840000
2,baseline,10,10,0.830000
2,group_a,10,1,0.710000
2,group_a,10,2,0.710000
2,group_a,10,3,0.710000
2,group_a,10,4,0.710000
2,group_a,10,5,0.710000
2,group_a,10,6,0.710000
2,group_a,10,7,0.710000
2,group_a,10,8,0.710000
2,group_a,10,9,0.710000
2,group_a,10,10,0.710000
2,group_c1,10,1,0.710000
2,group_c1,10,2,0.701667
2,group_c1,10,3,0.672333
2,group_c1,10,4,0.673667
2,group_c1,10,5,0.669833
2,group_c1,10,6,0.680333
2,group_c1,10,7,0.685500
2,group_c1,10,8,0.681500
2,group_c1,10,9,0.677167
2,group_c1,10,10,0.688000
2,group_c2,10,1,0.710000
2,group_c2,10,2,0.735000
2,group_c2,10,3,0.730000
2,group_c2,10,4,0.735000
2,group_c2,10,5,0.745000
2,group_c2,10,6,0.745000
2,group_c2,10,7,0.740000
2,group_c2,10,8,0.730000
2,group_c2,10,9,0.730000
2,group_c2,10,10,0.730000
2,baseline,15,1,0.710000
2,baseline,15,2,0.820000
2,baseline,15,3,0.825000
2,baseline,15,4,0.830000
2,baseline,15,5,0.840000
2,baseline,15,6,0.840000
2,baseline,15,7,0.835000
2,baseline,15,8,0.840000
2,baseline,15,9,0.840000
2,baseline,15,10,0.830000
2,baseline,15,11,0.830000
2,baseline,15,12,0.830000
2,baseline,15,13,0.835000
2,baseline,15,14,0.845000
2,baseline,15,15,0.845000
2,group_a,15,1,0.710000
2,group_a,15,2,0.710000
2,group_a,15,3,0.710000
2,group_a,15,4,0.710000
2,group_a,15,5,0.710000
2,group_a,15,6,0.710000
2,group_a,15,7,0.710000
