seed,condition,T_max,t,accuracy
0,baseline,3,1,0.790000
0,baseline,3,2,0.965000
0,baseline,3,3,0.935000
0,group_a,3,1,0.790000
0,group_a,3,2,0.860000
0,group_a,3,3,0.775000
0,group_c1,3,1,0.790000
0,group_c1,3,2,0.687500
0,group_c1,3,3,0.615500
0,group_c2,3,1,0.790000
0,group_c2,3,2,0.815000
0,group_c2,3,3,0.695000
0,baseline,5,1,0.795000
0,baseline,5,2,0.920000
0,baseline,5,3,0.960000
0,baseline,5,4,0.955000
0,baseline,5,5,0.965000
0,group_a,5,1,0.795000
0,group_a,5,2,0.805000
0,group_a,5,3,0.850000
0,group_a,5,4,0.820000
0,group_a,5,5,0.835000
0,group_c1,5,1,0.795000
0,group_c1,5,2,0.645333
0,group_c1,5,3,0.656500
0,group_c1,5,4,0.640000
0,group_c1,5,5,0.652000
0,group_c2,5,1,0.795000
0,group_c2,5,2,0.810000
0,group_c2,5,3,0.800000
0,group_c2,5,4,0.785000
0,group_c2,5,5,0.740000
0,baseline,7,1,0.815000
0,baseline,7,2,0.940000
0,baseline,7,3,0.925000
0,baseline,7,4,0.955000
0,baseline,7,5,0.960000
0,baseline,7,6,0.950000
0,baseline,7,7,0.945000
0,group_a,7,1,0.815000
0,group_a,7,2,0.790000
0,group_a,7,3,0.775000
0,group_a,7,4,0.785000
0,group_a,7,5,0.815000
0,group_a,7,6,0.800000
0,group_a,7,7,0.810000
0,group_c1,7,1,0.815000
0,group_c1,7,2,0.631500
0,group_c1,7,3,0.611333
0,group_c1,7,4,0.617500
0,group_c1,7,5,0.655000
0,group_c1,7,6,0.606833
0,group_c1,7,7,0.641500
0,group_c2,7,1,0.815000
0,group_c2,7,2,0.810000
0,group_c2,7,3,0.730000
0,group_c2,7,4,0.705000
0,group_c2,7,5,0.725000
0,group_c2,7,6,0.670000
0,group_c2,7,7,0.700000
0,baseline,10,1,0.810000
0,baseline,10,2,0.925000
0,baseline,10,3,0.900000
0,baseline,10,4,0.955000
0,baseline,10,5,0.955000
0,baseline,10,6,0.965000
0,baseline,10,7,0.960000
0,baseline,10,8,0.950000
0,baseline,10,9,0.965000
0,baseline,10,10,0.950000
0,group_a,10,1,0.810000
0,group_a,10,2,0.805000
0,group_a,10,3,0.795000
0,group_a,10,4,0.780000
0,group_a,10,5,0.790000
0,group_a,10,6,0.825000
0,group_a,10,7,0.785000
0,group_a,10,8,0.820000
0,group_a,10,9,0.795000
0,group_a,10,10,0.780000
0,group_c1,10,1,0.810000
0,group_c1,10,2,0.609000
0,group_c1,10,3,0.625333
0,group_c1,10,4,0.615333
0,group_c1,10,5,0.622000
0,group_c1,10,6,0.633333
0,group_c1,10,7,0.647500
0,group_c1,10,8,0.631000
0,group_c1,10,9,0.604167
0,group_c1,10,10,0.591667
0,group_c2,10,1,0.810000
0,group_c2,10,2,0.755000
0,group_c2,10,3,0.695000
0,group_c2,10,4,0.680000
0,group_c2,10,5,0.705000
0,group_c2,10,6,0.710000
0,group_c2,10,7,0.720000
0,group_c2,10,8,0.730000
0,group_c2,10,9,0.690000
0,group_c2,10,10,0.660000
0,baseline,15,1,0.860000
0,baseline,15,2,0.905000
0,baseline,15,3,0.945000
0,baseline,15,4,0.960000
0,baseline,15,5,0.965000
0,baseline,15,6,0.945000
0,baseline,15,7,0.950000
0,baseline,15,8,0.955000
0,baseline,15,9,0.960000
0,baseline,15,10,0.965000
0,baseline,15,11,0.940000
0,baseline,15,12,0.940000
0,baseline,15,13,0.950000
0,baseline,15,14,0.950000
0,baseline,15,15,0.965000
0,group_a,15,1,0.860000
0,group_a,15,2,0.840000
0,group_a,15,3,0.845000
0,group_a,15,4,0.820000
0,group_a,15,5,0.805000
0,group_a,15,6,0.810000
0,group_a,15,7,0.830000
0,group_a,15,8,0.800000
0,group_a,15,9,0.815000
0,group_a,15,10,0.830000
0,group_a,15,11,0.825000
0,group_a,15,12,0.845000
0,group_a,15,13,0.785000
0,group_a,15,14,0.800000
0,group_a,15,15,0.860000
0,group_c1,15,1,0.860000
0,group_c1,15,2,0.626333
0,group_c1,15,3,0.673667
0,group_c1,15,4,0.628833
0,group_c1,15,5,0.637500
0,group_c1,15,6,0.607000
0,group_c1,15,7,0.633167
0,group_c1,15,8,0.621667
0,group_c1,15,9,0.630000
0,group_c1,15,10,0.645167
0,group_c1,15,11,0.620833
0,group_c1,15,12,0.639667
0,group_c1,15,13,0.609167
