task,seed,epoch,acc_t1,acc_t3,gain_baseline,gain_a,gain_c1,gain_c2
static,0,0,0.325,0.29,-0.03500000000000003,0.0,-0.020000000000000018,-0.07500000000000001
static,0,10,0.35,0.31,-0.03999999999999998,0.0,-0.019999999999999962,-0.09999999999999998
static,0,25,0.345,0.33,-0.014999999999999958,0.0,-0.014999999999999958,-0.08499999999999996
static,0,50,0.395,0.39,-0.0050000000000000044,0.0,-0.03500000000000003,-0.135
static,0,75,0.44,0.475,0.034999999999999976,0.0,-0.030000000000000027,-0.15000000000000002
static,0,100,0.455,0.485,0.02999999999999997,0.0,-0.025000000000000022,-0.135
static,0,150,0.535,0.54,0.0050000000000000044,0.0,-0.030000000000000027,-0.11500000000000005
static,0,200,0.63,0.585,-0.04500000000000004,0.0,-0.08499999999999996,-0.135
static,0,300,0.69,0.645,-0.04499999999999993,0.0,-0.05999999999999994,-0.1399999999999999
static,0,400,0.755,0.74,-0.015000000000000013,0.0,-0.06999999999999995,-0.135
static,0,500,0.81,0.8,-0.010000000000000009,0.0,-0.07500000000000007,-0.1200000000000001
static,0,600,0.84,0.815,-0.025000000000000022,0.0,-0.10499999999999998,-0.08999999999999997
static,0,700,0.85,0.81,-0.039999999999999925,0.0,-0.13,-0.06499999999999995
static,0,800,0.845,0.835,-0.010000000000000009,0.0,-0.14,-0.03499999999999992
static,0,900,0.835,0.845,0.010000000000000009,0.0,-0.14,-0.020000000000000018
static,0,1000,0.85,0.835,-0.015000000000000013,0.0,-0.18499999999999994,-0.030000000000000027
static,1,0,0.205,0.19,-0.014999999999999986,0.0,0.07500000000000004,0.08499999999999999
static,1,10,0.235,0.255,0.020000000000000018,0.0,0.04500000000000004,0.08000000000000002
static,1,25,0.26,0.28,0.020000000000000018,0.0,0.06,0.065
static,1,50,0.31,0.37,0.06,0.0,0.044999999999999984,0.065
static,1,75,0.405,0.45,0.044999999999999984,0.0,0.024999999999999967,0.05499999999999999
static,1,100,0.47,0.58,0.10999999999999999,0.0,0.0050000000000000044,0.04500000000000004
static,1,150,0.535,0.635,0.09999999999999998,0.0,-0.015000000000000013,0.0
static,1,200,0.585,0.7,0.11499999999999999,0.0,-0.03499999999999992,-0.02499999999999991
static,1,300,0.665,0.74,0.07499999999999996,0.0,-0.08000000000000007,-0.04500000000000004
static,1,400,0.665,0.79,0.125,0.0,-0.050000000000000044,0.010000000000000009
static,1,500,0.67,0.795,0.125,0.0,-0.07000000000000006,0.02499999999999991
static,1,600,0.665,0.805,0.14,0.0,-0.050000000000000044,0.05499999999999994
static,1,700,0.69,0.81,0.1200000000000001,0.0,-0.07499999999999996,0.050000000000000044
static,1,800,0.725,0.83,0.10499999999999998,0.0,-0.11499999999999999,0.04500000000000004
static,1,900,0.73,0.845,0.11499999999999999,0.0,-0.135,0.050000000000000044
static,1,1000,0.735,0.845,0.10999999999999999,0.0,-0.14,0.050000000000000044
static,2,0,0.205,0.215,0.010000000000000009,0.0,0.010000000000000009,0.05500000000000002
static,2,10,0.19,0.23,0.04000000000000001,0.0,0.04000000000000001,0.10499999999999998
static,2,25,0.2,0.245,0.044999999999999984,0.0,0.03,0.12
static,2,50,0.22,0.285,0.06499999999999997,0.0,0.035,0.12499999999999997
static,2,75,0.255,0.3,0.044999999999999984,0.0,0.010000000000000009,0.08500000000000002
static,2,100,0.285,0.32,0.03500000000000003,0.0,-0.019999999999999962,0.050000000000000044
static,2,150,0.37,0.385,0.015000000000000013,0.0,-0.06,0.020000000000000018
static,2,200,0.43,0.445,0.015000000000000013,0.0,-0.065,-0.015000000000000013
static,2,300,0.5,0.575,0.07499999999999996,0.0,-0.044999999999999984,0.040000000000000036
static,2,400,0.58,0.67,0.09000000000000008,0.0,-0.04999999999999993,-0.0050000000000000044
static,2,500,0.65,0.715,0.06499999999999995,0.0,-0.09499999999999997,-0.040000000000000036
static,2,600,0.655,0.755,0.09999999999999998,0.0,-0.07000000000000006,-0.015000000000000013
static,2,700,0.655,0.76,0.10499999999999998,0.0,-0.020000000000000018,0.0
static,2,800,0.655,0.76,0.10499999999999998,0.0,0.0,0.010000000000000009
static,2,900,0.665,0.76,0.09499999999999997,0.0,0.0,0.010000000000000009
static,2,1000,0.67,0.775,0.10499999999999998,0.0,0.0050000000000000044,0.010000000000000009
static,3,0,0.245,0.2,-0.044999999999999984,0.0,0.015000000000000013,-0.13
static,3,10,0.255,0.225,-0.03,0.0,0.0050000000000000044,-0.14500000000000002
static,3,25,0.27,0.295,0.024999999999999967,0.0,0.0050000000000000044,-0.14
static,3,50,0.31,0.315,0.0050000000000000044,0.0,-0.015000000000000013,-0.15
static,3,75,0.335,0.335,0.0,0.0,0.0050000000000000044,-0.165
static,3,100,0.36,0.35,-0.010000000000000009,0.0,0.015000000000000013,-0.185
static,3,150,0.42,0.39,-0.02999999999999997,0.0,-0.034999999999999976,-0.22499999999999998
static,3,200,0.46,0.44,-0.020000000000000018,0.0,-0.030000000000000027,-0.25
static,3,300,0.495,0.49,-0.0050000000000000044,0.0,-0.020000000000000018,-0.22999999999999998
static,3,400,0.535,0.565,0.029999999999999916,0.0,-0.030000000000000027,-0.22500000000000003
static,3,500,0.565,0.62,0.05500000000000005,0.0,-0.009999999999999898,-0.20499999999999996
static,3,600,0.575,0.69,0.11499999999999999,0.0,0.015000000000000013,-0.16499999999999998
static,3,700,0.585,0.695,0.10999999999999999,0.0,0.025000000000000022,-0.11499999999999999
static,3,800,0.62,0.715,0.09499999999999997,0.0,-0.0050000000000000044,-0.135
static,3,900,0.66,0.73,0.06999999999999995,0.0,-0.030000000000000027,-0.17500000000000004
static,3,1000,0.675,0.745,0.06999999999999995,0.0,-0.03500000000000003,-0.19000000000000006
static,4,0,0.11,0.14,0.030000000000000013,0.0,0.06000000000000001,0.09000000000000001
static,4,10,0.125,0.15,0.024999999999999994,0.0,0.04000000000000001,0.08499999999999999
static,4,25,0.155,0.2,0.04500000000000001,0.0,0.05499999999999999,0.07
static,4,50,0.205,0.24,0.035,0.0,0.04000000000000001,0.04000000000000001
static,4,75,0.25,0.315,0.065,0.0,-0.010000000000000009,-0.0050000000000000044
static,4,100,0.28,0.36,0.07999999999999996,0.0,0.024999999999999967,-0.010000000000000009
static,4,150,0.42,0.49,0.07,0.0,0.025000000000000022,-0.125
static,4,200,0.535,0.575,0.039999999999999925,0.0,-0.03500000000000003,-0.21000000000000002
static,4,300,0.635,0.685,0.050000000000000044,0.0,-0.03500000000000003,-0.265
static,4,400,0.735,0.735,0.0,0.0,-0.07499999999999996,-0.25
static,4,500,0.73,0.765,0.03500000000000003,0.0,-0.05499999999999994,-0.20999999999999996
static,4,600,0.725,0.775,0.050000000000000044,0.0,-0.010000000000000009,-0.18499999999999994
static,4,700,0.73,0.805,0.07500000000000007,0.0,-0.0050000000000000044,-0.17999999999999994
static,4,800,0.735,0.835,0.09999999999999998,0.0,-0.010000000000000009,-0.17499999999999993
static,4,900,0.76,0.835,0.07499999999999996,0.0,-0.030000000000000027,-0.19000000000000006
static,4,1000,0.765,0.85,0.08499999999999996,0.0,-0.025000000000000022,-0.19000000000000006
static,5,0,0.18,0.135,-0.044999999999999984,0.0,-0.014999999999999986,0.05499999999999999
static,5,10,0.19,0.145,-0.04500000000000001,0.0,0.0050000000000000044,0.07500000000000001
static,5,25,0.235,0.205,-0.03,0.0,0.010000000000000009,0.07500000000000001
static,5,50,0.295,0.25,-0.044999999999999984,0.0,-0.014999999999999958,0.06
static,5,75,0.33,0.31,-0.020000000000000018,0.0,0.024999999999999967,0.02999999999999997
static,5,100,0.38,0.365,-0.015000000000000013,0.0,-0.0050000000000000044,-0.010000000000000009
static,5,150,0.41,0.45,0.040000000000000036,0.0,-0.004999999999999949,-0.009999999999999953
static,5,200,0.47,0.51,0.040000000000000036,0.0,-0.009999999999999953,-0.05499999999999999
static,5,300,0.505,0.565,0.05999999999999994,0.0,0.015000000000000013,-0.030000000000000027
static,5,400,0.61,0.64,0.030000000000000027,0.0,-0.015000000000000013,-0.09999999999999998
static,5,500,0.655,0.68,0.025000000000000022,0.0,-0.015000000000000013,-0.050000000000000044
static,5,600,0.695,0.735,0.040000000000000036,0.0,-0.019999999999999907,-0.009999999999999898
