seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
0,Baseline,0,0.0,1.000000,1.000000,1.000000,0.000000,0.091998,3.020053,1.746802
0,A,0,0.0,1.000000,1.000000,1.000000,0.000000,0.203599,0.000000,0.000000
0,C1,avg30,0.0,1.000000,,0.758167,-0.241833,,,
0,C2,0,0.0,1.000000,0.780000,1.000000,0.000000,0.346498,2.659987,1.691022
0,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.093885,3.022537,1.864884
0,A,0,0.1,1.000000,1.000000,1.000000,0.000000,0.213893,0.000000,0.601194
0,C1,avg30,0.1,1.000000,,0.737667,-0.262333,,,
0,C2,0,0.1,1.000000,0.815000,0.885000,-0.115000,0.224751,2.662036,1.759267
0,Baseline,0,0.2,1.000000,1.000000,1.000000,0.000000,0.099465,3.002357,2.134498
0,A,0,0.2,1.000000,0.995000,0.990000,-0.010000,0.233130,0.000000,1.251975
0,C1,avg30,0.2,1.000000,,0.714667,-0.285333,,,
0,C2,0,0.2,1.000000,0.855000,0.860000,-0.140000,0.200996,2.662220,2.038251
0,Baseline,0,0.3,0.935000,1.000000,0.995000,0.060000,0.103831,2.972582,2.458667
0,A,0,0.3,0.935000,0.990000,0.945000,0.010000,0.233395,0.000000,1.925363
0,C1,avg30,0.3,0.935000,,0.684167,-0.250833,,,
0,C2,0,0.3,0.935000,0.830000,0.790000,-0.145000,0.143054,2.664429,2.482483
0,Baseline,0,0.4,0.900000,0.975000,0.975000,0.075000,0.103781,2.956697,2.832278
0,A,0,0.4,0.900000,0.920000,0.830000,-0.070000,0.163886,0.000000,2.573425
0,C1,avg30,0.4,0.900000,,0.642500,-0.257500,,,
0,C2,0,0.4,0.900000,0.815000,0.725000,-0.175000,0.100851,2.677336,3.012310
0,Baseline,0,0.5,0.815000,0.910000,0.955000,0.140000,0.116016,2.964384,3.258976
0,A,0,0.5,0.815000,0.825000,0.780000,-0.035000,0.107526,0.000000,3.192427
0,C1,avg30,0.5,0.815000,,0.601833,-0.213167,,,
0,C2,0,0.5,0.815000,0.780000,0.695000,-0.120000,0.111183,2.705000,3.560177
0,Baseline,0,0.6,0.735000,0.860000,0.885000,0.150000,0.067236,2.995478,3.693890
0,A,0,0.6,0.735000,0.770000,0.675000,-0.060000,0.061137,0.000000,3.784680
0,C1,avg30,0.6,0.735000,,0.563667,-0.171333,,,
0,C2,0,0.6,0.735000,0.705000,0.670000,-0.065000,0.078047,2.735562,4.116899
0,Baseline,0,0.7,0.695000,0.810000,0.815000,0.120000,0.045484,3.035648,4.136430
0,A,0,0.7,0.695000,0.690000,0.605000,-0.090000,0.069579,0.000000,4.359335
0,C1,avg30,0.7,0.695000,,0.525667,-0.169333,,,
0,C2,0,0.7,0.695000,0.655000,0.655000,-0.040000,0.089265,2.755266,4.626400
0,Baseline,0,0.8,0.615000,0.735000,0.735000,0.120000,0.077338,3.078909,4.597544
0,A,0,0.8,0.615000,0.615000,0.540000,-0.075000,0.144989,0.000000,4.916647
0,C1,avg30,0.8,0.615000,,0.493833,-0.121167,,,
0,C2,0,0.8,0.615000,0.620000,0.600000,-0.015000,0.121512,2.772703,5.129608
0,Baseline,0,0.9,0.565000,0.665000,0.675000,0.110000,0.107379,3.124531,5.076079
