seed_model,n_matched,cos_div_mean,cos_div_sd
0,200,0.27014725376712856,0.2613064056901147
1,200,0.2005137197822492,0.24467297195971033
2,200,0.16531521980122588,0.18647253220209276
3,200,0.1697702387903346,0.18469410565942726
4,200,0.20968586697142527,0.2244411224236997
5,200,0.24173802031143354,0.2731027613450079
6,200,0.2511250603660212,0.2759391243434072
7,199,0.19368924611614563,0.21337912205316079
8,199,0.14851738238368226,0.1663555087294729
9,200,0.17420169727789947,0.22433316094324468
10,200,0.27205611766103577,0.29221307591126217
11,200,0.2732272211753635,0.31989480046141444
12,200,0.17649816721922412,0.20805897687342845
13,198,0.0950591081587841,0.11003383185933893
14,200,0.2778918411617417,0.36850704198024903
15,200,0.23895696152695425,0.28343677245622
16,200,0.2198136604971279,0.21852188981845577
17,200,0.26189962154437646,0.24175517336334817
18,200,0.2898879411503298,0.2795952305633897
19,200,0.17394764287523423,0.22471051489698488
