seed_model,trial,wrong_trial,pred_t1,correct_t1,cos_div_t2,cos_div_t3,cos_div_mean
0,0,129,3,1,0.7858193439218406,0.302257671813026,0.5440385078674332
0,1,16,4,1,0.456656164450167,0.26495512839725566,0.3608056464237113
0,2,7,2,1,0.020757880495773873,0.01949886371983356,0.020128372107803716
0,3,93,0,0,1.1382735007875695,0.8069279263696847,0.9726007135786271
0,4,99,1,0,0.2987321923345547,0.2551590667536632,0.27694562954410895
0,5,28,2,1,0.4479963594956796,0.43403225703233805,0.44101430826400884
0,6,66,0,1,0.09301516381464814,0.22637090745922872,0.15969303563693843
0,7,31,2,1,0.585473788874748,0.8463456520608682,0.7159097204678081
0,8,172,0,1,0.12918525990081953,0.08017470493839329,0.10467998241960641
0,9,140,0,1,0.17451721441187273,0.04959451539452853,0.11205586490320063
0,10,195,0,0,0.8313096300627687,0.61789851347865,0.7246040717707094
0,11,19,0,1,0.32551369703637056,0.5352788177031063,0.4303962573697384
0,12,21,3,1,0.6107308567383744,0.3331551446981553,0.47194300071826484
0,13,1,4,1,0.3238720755962239,0.17415550898682475,0.24901379229152432
0,14,127,1,1,0.06429631510134903,0.024518644702715697,0.044407479902032365
0,15,159,4,1,0.2508690106251834,0.20490135973332735,0.22788518517925538
0,16,15,4,1,0.27677831148027365,0.11648501261581468,0.19663166204804416
0,17,59,3,1,0.04856456412462762,0.03374635264577264,0.04115545838520013
0,18,138,3,1,0.36070406663432275,0.3156334530045952,0.338168759819459
0,19,8,0,1,0.2917856435872108,0.08595738385614904,0.18887151372167993
0,20,172,0,1,0.20257298808573898,0.01401804922747063,0.1082955186566048
0,21,79,3,1,0.6567552193884321,0.48225664122847134,0.5695059303084518
0,22,131,4,1,0.0891602174622792,0.1624791716575602,0.1258196945599197
0,23,45,3,1,0.33941047855127204,0.10659111767972096,0.2230007981154965
0,24,111,0,1,0.1602113379375758,0.02735479727154355,0.09378306760455968
0,25,76,1,1,0.21100372556063518,0.11476297121690138,0.16288334838876828
0,26,107,3,1,0.22219093960705216,0.9742248578474388,0.5982078987272454
0,27,11,0,1,0.48901071510205707,0.5187014162125376,0.5038560656572973
0,28,57,2,1,0.4519683132803156,0.441878389215723,0.4469233512480193
0,29,187,2,0,0.9246004557903712,0.6562718412799668,0.790436148535169
0,30,39,0,1,0.04257445769272239,0.2372291993101463,0.13990182850143434
0,31,63,2,1,0.21164380373774216,0.37265469663195716,0.29214925018484966
0,32,133,0,1,0.10979543326061192,0.07956650972523871,0.09468097149292531
0,33,97,4,1,0.3320039616925977,0.1362282965795344,0.23411612913606605
0,34,35,4,1,0.3463773006207016,0.07398521088445342,0.2101812557525775
0,35,176,4,1,0.3680480555622504,0.3606374672391801,0.36434276140071525
0,36,157,1,1,0.11992746148163724,0.012287781417512522,0.06610762144957488
0,37,147,4,1,0.015514487649833208,0.00973014116576354,0.012622314407798374
0,38,182,2,1,0.23973837603208625,0.4016420655210359,0.32069022077656106
0,39,70,0,1,0.2417262913425564,0.19144337739352635,0.21658483436804138
0,40,150,2,0,0.28114337162924086,0.21102075056296998,0.24608206109610542
0,41,73,0,1,0.6203386760244307,0.5268388500530862,0.5735887630387584
0,42,188,3,1,0.3709143771911243,0.10856037535519936,0.23973737627316183
0,43,158,4,0,0.05565566001811961,0.020444747348243975,0.038050203683181794
0,44,117,4,1,0.6641041491943012,0.8887868734335042,0.7764455113139026
0,45,12,3,1,0.12150872276978453,0.05433315441848774,0.08792093859413613
0,46,117,4,1,1.1179236512808808,1.0868241523785227,1.1023739018297016
0,47,7,2,1,0.02307501039272375,0.11102805615011191,0.06705153327141783
0,48,98,4,1,0.7814819377332295,0.5497160064770201,0.6655989721051248
0,49,71,1,1,0.016512944552952158,0.058415159426468244,0.0374640519897102
0,50,23,3,1,0.32563321650515076,0.1262090076302257,0.22592111206768822
0,51,180,1,1,0.26370426676514847,0.15090062719478636,0.20730244697996741
0,52,138,3,1,0.390516291998085,0.39459669870668235,0.3925564953523837
0,53,194,0,1,0.0635486095548955,0.03638627166742736,0.04996744061116143
0,54,130,0,1,0.03489670057313243,0.2544210266631757,0.14465886361815405
0,55,92,3,1,0.23530009471329605,0.12439961847173098,0.1798498565925135
0,56,138,3,1,0.431074568630873,0.3010457228439736,0.3660601457374233
0,57,78,2,1,0.013677285935402295,0.013250378083375036,0.013463832009388665
0,58,194,0,1,0.18049583776267086,0.15008535892123898,0.16529059834195492
0,59,55,3,1,0.38352258804762496,0.16513700814843857,0.27432979809803176
0,60,118,1,1,0.16648408258409586,0.021763281783050203,0.09412368218357303
0,61,121,1,1,0.012887168921398517,0.010847152454094289,0.011867160687746403
0,62,89,3,1,0.13351579847785178,0.04911435259081509,0.09131507553433343
0,63,199,2,1,0.056104303869081384,0.03335732556020776,0.04473081471464457
0,64,4,1,0,0.09765851177509866,0.008780732436945882,0.05321962210602227
0,65,94,1,1,0.006567782567225677,0.009214699052917386,0.007891240810071531
0,66,104,0,1,0.03125320465765902,0.10545401841005153,0.06835361153385527
0,67,187,2,0,0.8071593977054555,0.7506599800137825,0.778909688859619
0,68,79,3,1,0.059985261839425874,0.00601924294996059,0.03300225239469323
0,69,75,3,0,0.10503325928459484,0.05361765571790733,0.07932545750125108
0,70,90,0,1,0.08393504822803688,0.07822220102554,0.08107862462678844
0,71,126,1,1,0.11897075090742548,0.006470862200477323,0.0627208065539514
0,72,145,4,1,0.12499939753214939,0.05755884223192331,0.09127911988203635
0,73,111,0,1,0.09883411161473554,0.037428502430192134,0.06813130702246384
0,74,107,3,1,0.42724174833903517,0.7271458650045659,0.5771938066718005
0,75,128,3,0,0.23671566007951095,0.4924437205511124,0.3645796903153117
0,76,192,1,1,0.15596453522497145,0.06126160091860777,0.10861306807178961
0,77,60,1,1,0.17193188933321013,0.05575594096495329,0.11384391514908171
0,78,184,2,1,0.01991709979549916,0.07104208948227309,0.04547959463888612
0,79,142,3,1,1.2601473839110278,1.2005123404807723,1.2303298621959
