seed,condition,acc_t1,acc_t3,gain
0,self_current,0.85,0.835,-0.015000000000000013
0,self_wrong_trial,0.85,0.87,0.020000000000000018
0,clone_current,0.85,0.82,-0.030000000000000027
0,group_a,0.85,0.85,0.0
1,self_current,0.735,0.845,0.10999999999999999
1,self_wrong_trial,0.735,0.855,0.12
1,clone_current,0.735,0.785,0.050000000000000044
1,group_a,0.735,0.735,0.0
2,self_current,0.67,0.775,0.10499999999999998
2,self_wrong_trial,0.67,0.765,0.09499999999999997
2,clone_current,0.67,0.68,0.010000000000000009
2,group_a,0.67,0.67,0.0
3,self_current,0.675,0.745,0.06999999999999995
3,self_wrong_trial,0.675,0.795,0.12
3,clone_current,0.675,0.485,-0.19000000000000006
3,group_a,0.675,0.675,0.0
4,self_current,0.765,0.85,0.08499999999999996
4,self_wrong_trial,0.765,0.825,0.05999999999999994
4,clone_current,0.765,0.575,-0.19000000000000006
4,group_a,0.765,0.765,0.0
5,self_current,0.745,0.78,0.03500000000000003
5,self_wrong_trial,0.745,0.805,0.06000000000000005
5,clone_current,0.745,0.76,0.015000000000000013
5,group_a,0.745,0.745,0.0
6,self_current,0.765,0.77,0.0050000000000000044
6,self_wrong_trial,0.765,0.78,0.015000000000000013
6,clone_current,0.765,0.735,-0.030000000000000027
6,group_a,0.765,0.765,0.0
7,self_current,0.8140703517587939,0.8592964824120602,0.045226130653266305
7,self_wrong_trial,0.8140703517587939,0.8542713567839196,0.04020100502512569
7,clone_current,0.8140703517587939,0.7035175879396985,-0.1105527638190954
7,group_a,0.8140703517587939,0.8140703517587939,0.0
8,self_current,0.6884422110552764,0.7839195979899497,0.09547738693467334
8,self_wrong_trial,0.6884422110552764,0.8241206030150754,0.13567839195979903
8,clone_current,0.6884422110552764,0.7085427135678392,0.02010050251256279
8,group_a,0.6884422110552764,0.6884422110552764,0.0
9,self_current,0.8,0.83,0.029999999999999916
9,self_wrong_trial,0.8,0.85,0.04999999999999993
9,clone_current,0.8,0.69,-0.1100000000000001
9,group_a,0.8,0.8,0.0
10,self_current,0.72,0.75,0.030000000000000027
10,self_wrong_trial,0.72,0.685,-0.03499999999999992
10,clone_current,0.72,0.515,-0.20499999999999996
10,group_a,0.72,0.72,0.0
11,self_current,0.735,0.77,0.03500000000000003
11,self_wrong_trial,0.735,0.765,0.030000000000000027
11,clone_current,0.735,0.565,-0.17000000000000004
11,group_a,0.735,0.735,0.0
12,self_current,0.695,0.815,0.12
12,self_wrong_trial,0.695,0.86,0.16500000000000004
12,clone_current,0.695,0.635,-0.05999999999999994
12,group_a,0.695,0.695,0.0
13,self_current,0.7525252525252525,0.7626262626262627,0.010101010101010166
13,self_wrong_trial,0.7525252525252525,0.7474747474747475,-0.005050505050504972
13,clone_current,0.7525252525252525,0.601010101010101,-0.1515151515151515
13,group_a,0.7525252525252525,0.7525252525252525,0.0
14,self_current,0.665,0.75,0.08499999999999996
14,self_wrong_trial,0.665,0.73,0.06499999999999995
14,clone_current,0.665,0.585,-0.08000000000000007
14,group_a,0.665,0.665,0.0
15,self_current,0.61,0.655,0.04500000000000004
15,self_wrong_trial,0.61,0.69,0.07999999999999996
15,clone_current,0.61,0.35,-0.26
15,group_a,0.61,0.61,0.0
16,self_current,0.8,0.84,0.039999999999999925
16,self_wrong_trial,0.8,0.845,0.04499999999999993
16,clone_current,0.8,0.825,0.02499999999999991
16,group_a,0.8,0.8,0.0
17,self_current,0.68,0.735,0.05499999999999994
17,self_wrong_trial,0.68,0.7,0.019999999999999907
17,clone_current,0.68,0.54,-0.14
17,group_a,0.68,0.68,0.0
18,self_current,0.78,0.825,0.04499999999999993
18,self_wrong_trial,0.78,0.81,0.030000000000000027
18,clone_current,0.78,0.8,0.020000000000000018
18,group_a,0.78,0.78,0.0
19,self_current,0.82,0.83,0.010000000000000009
19,self_wrong_trial,0.82,0.84,0.020000000000000018
19,clone_current,0.82,0.585,-0.235
19,group_a,0.82,0.82,0.0
