seed,condition,acc_t1,acc_t3,gain
0,self_current,0.815,0.955,0.14
0,self_wrong_trial,0.815,0.87,0.05500000000000005
0,clone_current,0.815,0.695,-0.12
0,group_a,0.815,0.78,-0.03499999999999992
1,self_current,0.77,0.97,0.19999999999999996
1,self_wrong_trial,0.77,0.855,0.08499999999999996
1,clone_current,0.77,0.765,-0.0050000000000000044
1,group_a,0.77,0.73,-0.040000000000000036
2,self_current,0.75,0.96,0.20999999999999996
2,self_wrong_trial,0.75,0.875,0.125
2,clone_current,0.75,0.845,0.09499999999999997
2,group_a,0.75,0.715,-0.03500000000000003
3,self_current,0.735,0.85,0.11499999999999999
3,self_wrong_trial,0.735,0.81,0.07500000000000007
3,clone_current,0.735,0.49,-0.245
3,group_a,0.735,0.72,-0.015000000000000013
4,self_current,0.755,0.965,0.20999999999999996
4,self_wrong_trial,0.755,0.925,0.17000000000000004
4,clone_current,0.755,0.725,-0.030000000000000027
4,group_a,0.755,0.76,0.0050000000000000044
5,self_current,0.645,0.96,0.31499999999999995
5,self_wrong_trial,0.645,0.84,0.19499999999999995
5,clone_current,0.645,0.84,0.19499999999999995
5,group_a,0.645,0.755,0.10999999999999999
6,self_current,0.6331658291457286,0.8844221105527639,0.25125628140703526
6,self_wrong_trial,0.6331658291457286,0.7839195979899497,0.1507537688442211
6,clone_current,0.6331658291457286,0.6231155778894473,-0.01005025125628134
6,group_a,0.6331658291457286,0.6633165829145728,0.03015075376884424
7,self_current,0.765,0.935,0.17000000000000004
7,self_wrong_trial,0.765,0.865,0.09999999999999998
7,clone_current,0.765,0.605,-0.16000000000000003
7,group_a,0.765,0.765,0.0
8,self_current,0.695,0.875,0.18000000000000005
8,self_wrong_trial,0.695,0.79,0.09500000000000008
8,clone_current,0.695,0.695,0.0
8,group_a,0.695,0.69,-0.0050000000000000044
9,self_current,0.73,0.965,0.235
9,self_wrong_trial,0.73,0.865,0.135
9,clone_current,0.73,0.67,-0.05999999999999994
9,group_a,0.73,0.765,0.03500000000000003
10,self_current,0.6633165829145728,0.7688442211055276,0.10552763819095479
10,self_wrong_trial,0.6633165829145728,0.6834170854271356,0.02010050251256279
10,clone_current,0.6633165829145728,0.49748743718592964,-0.1658291457286432
10,group_a,0.6633165829145728,0.6532663316582915,-0.01005025125628134
11,self_current,0.79,0.91,0.12
11,self_wrong_trial,0.79,0.89,0.09999999999999998
11,clone_current,0.79,0.8,0.010000000000000009
11,group_a,0.79,0.795,0.0050000000000000044
12,self_current,0.72,0.905,0.18500000000000005
12,self_wrong_trial,0.72,0.835,0.11499999999999999
12,clone_current,0.72,0.64,-0.07999999999999996
12,group_a,0.72,0.725,0.0050000000000000044
13,self_current,0.715,0.89,0.17500000000000004
13,self_wrong_trial,0.715,0.865,0.15000000000000002
13,clone_current,0.715,0.615,-0.09999999999999998
13,group_a,0.715,0.75,0.03500000000000003
14,self_current,0.6313131313131313,0.8737373737373737,0.24242424242424243
14,self_wrong_trial,0.6313131313131313,0.7474747474747475,0.11616161616161624
14,clone_current,0.6313131313131313,0.5909090909090909,-0.04040404040404033
14,group_a,0.6313131313131313,0.5757575757575758,-0.05555555555555547
15,self_current,0.585,0.76,0.17500000000000004
15,self_wrong_trial,0.585,0.71,0.125
15,clone_current,0.585,0.465,-0.11999999999999994
15,group_a,0.585,0.62,0.03500000000000003
16,self_current,0.825,0.925,0.10000000000000009
16,self_wrong_trial,0.825,0.905,0.08000000000000007
16,clone_current,0.825,0.81,-0.014999999999999902
16,group_a,0.825,0.825,0.0
17,self_current,0.695,0.875,0.18000000000000005
17,self_wrong_trial,0.695,0.81,0.1150000000000001
17,clone_current,0.695,0.75,0.05500000000000005
17,group_a,0.695,0.775,0.08000000000000007
18,self_current,0.785,0.91,0.125
18,self_wrong_trial,0.785,0.855,0.06999999999999995
18,clone_current,0.785,0.825,0.039999999999999925
18,group_a,0.785,0.765,-0.020000000000000018
19,self_current,0.765,0.91,0.14500000000000002
19,self_wrong_trial,0.765,0.85,0.08499999999999996
19,clone_current,0.765,0.545,-0.21999999999999997
19,group_a,0.765,0.775,0.010000000000000009
